cluster_id,text,count,sustainability_class
747,Enhanced depression care,1554,NR
748,Providing peer-led support networks,746,NR
749,Incorporating aspects of CBT into routine clinical visits,656,NR
750,"Configure outdoor play areas to ensure more opportunities for children to engage in various activity types and intensities, including challenging or 'risky' play",996,S
751,Promotion of the participation of the whole family in children’s physical activity,651,NR
752,Ensuring health care provision in deprived areas,3,NR
753,"Promotion of physical activity in schools, especially for girls",665,NR
754,Implementation of standard operating procedures (SOPs) in routine operations,242,S
755,Training employees on emotional intelligence and coping with emotions.,833,PS
756,Providing mental health support programs and emotional resilience training for nurses.,1180,NR
757,Strengthening environmental taxes,1231,NS
758,Provide financial incentives to encourage enterprises to adopt green technologies.,1083,S
759,Integration of environmentally friendly practices into industrial production processes,786,NS
760,Adjusting the intensity of environmental regulation,804,NS
761,Implementation of Arctic development programs at the federal level,574,S
762,Implementing pollution control measures,775,NS
763,Conduct awareness campaigns for community participation in forest conservation,508,S
764,"Eliminating lead in petrol, paints, and other consumer items",443,S
765,Promoting energy saving and emission reduction policies,336,S
766,Improving income,560,NS
767,Economic incentives for the adoption of sustainable practices in transportation,254,S
768,Existence of clear methodology for energy planning,514,S
769,Feed-in tariffs for electricity produced from renewable energy sources,1064,NS
770,Integration of energy storage systems,1607,NS
771,Financial incentives for energy efficiency,348,S
772,Public policies focused on building that help make investment decisions,8,PS
773,Deployment of smart grids and smart metering,951,NS
774,Strengthening carbon dioxide emissions regulations,521,NS
775,Providing incentives for carbon reduction,147,S
776,Consideration of heat pumps as a heating source in new constructions,978,S
777,Implementation of blue-green infrastructure or nature-based measures for stormwater management,1957,S
778,Law of the Republic of Indonesia Number 23 of 2014 concerning Regional Government,1101,NS
779,Quick and unbiased prosecution of forest encroachment,550,S
780,Management plans for forests,411,NS
781,Manage urban green spaces with regard to their cooling effect,2066,S
782,"Planning, establishment and maintenance of urban forests",1630,NS
783,Urban planning measures to manage flood risks,1566,NS
784,Building riverbanks for flood mitigation,783,S
785,Policies to prevent discrimination,940,NR
786,Capacity building on poultry production and husbandry practices,1410,S
787,Supporting community welfare,92,PS
788,Community-based participatory research project to address issues raised by participants,679,S
789,Integrating indigenous knowledge into formal strategies and policies,1278,S
790,Training and educating,906,S
791,Implementing precision agriculture,498,S
792,Establishing sustainability indicators,529,S
793,"Preservation of big living trees, large deadwood elements, and old-growth forest patches",681,S
794,Educational interventions to prevent or reduce burnout levels among healthcare workers,1492,NR
795,Robust mental health support in the workplace,654,NR
796,Providing mental health support to healthcare workers,923,NR
797,Promoting physical activity,905,NS
798,Consider and improve the work-related factors that lead to increased job satisfaction,1050,NR
799,Provide stress management training to employees,999,NR
800,Including mental health interventions in training programs of health care personnel,394,NR
801,Enhancing mental health services,1767,NR
802,Encouraging the role of private sector,321,S
803,Implementing fees for waste collection and management,896,NS
804,Implementing tax breaks and incentives,633,NS
805,Implementation of sanitary landfills,1436,NS
806,Reducing waste production,1068,NS
807,Strategies to facilitate the development of physical exercise in the workplace,733,NR
808,"Fruit thinning, pruning and regulated DI strategies",662,S
809,Developing the use of renewable energy sources,410,S
810,Incentivizing farmers to grow underutilized crops,196,S
811,Co-design methodology to engage the target community in the planning of the intervention,505,S
812,Developing community-based support initiatives by local governments and community organizations.,429,S
813,Implementing measures to reduce emissions in craft breweries,54,S
814,Conservation Reserve Program (CRP) for land management,260,S
815,Enforcing strict land-use regulations,504,NS
816,"Fair and reliable taxation about land, plot and real estate",586,NS
817,Regional policies and planning actions to guide the development of a region,335,S
818,Affordable housing provision,2042,NS
819,Price regulation measures in the housing market,988,NS
820,Participatory approaches for sustainable housing,608,S
821,Effective urban planning legislation to regulate land use and development,11,
822,Disclose environmental information and performance to the public,242,NS
823,Enhanced transparency and accountability,891,S
824,Comprehensive spatial planning,1005,NS
825,Regulation of indiscriminate fishing gear,1117,NS
826,Use of energy efficient sources of light,1653,S
827,Conservation and establishment of forests as carbon forests,1573,NS
828,Protecting areas for biodiversity,894,NS
829,Improving production efficiency,640,NS
830,Instructors encouraging students to take a proactive role in the learning process,648,NR
831,Practices of work flexibility,459,NS
832,Improved support for managers and supervisors to supplement relationships with their employees,1063,NR
833,Upgrading network capacity,385,S
834,Encouraging teamwork among employees,828,NR
835,Employing ecosystem-based management,354,S
836,Control of feral predators,1041,NS
838,Banning of highly hazardous pesticides,704,NS
839,Expanding smoking cessation areas,2740,NS
840,Investing in research and development of innovative renewable energy technologies,678,S
841,"Research on bioenergy-dedicated crops and their ecological, food safety, and social-related impacts",563,S
842,Government investment in scaling up biogas production,1790,NS
843,Subsidies for renewable energy technologies,810,NS
844,Fully utilize industrial waste heat,561,S
845,Strengthen transboundary cooperation for water management,1027,S
846,Economic sanctions imposed on the Russian Federation,551,NS
847,Spatial management strategies aimed at the protection of seagrass habitats,372,S
848,Evaluation and monitoring of existing management plans,115,NR
849,Public participation in environmental governance,413,S
850,Natura 2000 requirements for nature conservation and habitat protection,1125,NS
851,Nature reserve mode for coral reef management,1342,S
852,Restrictions on vessel traffic in habitats of marine mammals in Alaska and the Arctic,1130,S
853,Marine spatial planning initiatives,1171,S
854,Educational policies to promote human capital investment,473,NS
855,Systematic and proper implementation of HRM practices,1405,PS
856,Increasing access to capital for social enterprises,253,PS
857,Maintaining flexibility in generation capacity,845,NS
858,Allow for community participation in forest management,1965,S
859,Regional regulations to curtail deforestation,1025,S
860,Financial backing for conservation and management strategies,692,NS
861,Establishment of protected zones for forest preservation and management,466,S
862,Implementation of proper forest management strategies,672,S
863,Better management,183,S
864,Accelerating the development of tertiary industries,376,NS
865,Measuring carbon savings and carbon footprints,556,S
866,Continuous Quality Improvement (CQI) in health services,793,PS
867,Strict power usage effectiveness standards for data centers to promote energy conservation and low-carbon transformation in the sector,394,S
868,Promoting consumer awareness of green products and services,1193,S
869,Realization of industrial symbiosis,388,S
870,Wildfire information and mitigation measures,1889,NS
871,National regulations on fire prevention and suppression,1471,NS
872,Price controls for agricultural products,1020,NS
873,Contract farming arrangements with good prices offered in advance,466,NS
874,Fostering social capital in the community,858,S
875,Development of forest-based enterprises,914,NS
876,Clarification of forestland ownership and promotion of right confirmation,468,S
877,Involvement of locals in the policy and decision-making process,203,S
878,Progressive income tax rates,1110,NS
879,Fiscal decentralization mechanisms,858,NS
880,Avoiding excessive tree pruning,742,S
881,Governmental incentives for goat rearing,581,S
882,Land preservation measures in karst areas,231,S
883,Stringent action for mining activities,1749,NS
884,Ensuring rehabilitation of abandoned mining sites,1385,S
885,Use of materials sustainable in construction,896,S
886,Stress management programs integrated into students' curriculum,784,NR
887,Promotion of physical activity to preserve the health of inactive university students,617,NR
888,Use of biofertilizers containing living microorganisms to promote plant growth and soil health.,1472,S
889,Integration of obesity prevention strategies into healthcare systems,1045,NS
890,Providing public facilities for physical activity,1359,S
891,"Implement health check, wellness programs and mental health support to promote employee wellbeing.",920,NR
892,Reducing Emissions from Deforestation and Forest Degradation (REDD+),1602,NS
893,Preventing landscape fragmentation,315,S
894,Implementation of GIS technologies for spatial planning and land use management policies,902,S
895,Agricultural export restrictions,727,NS
896,Restricting car use,1077,NS
897,WHO health criteria for BMI and body fat mass,423,NS
898,Community-based management of severe acute malnutrition (CMAM) programs,607,NR
899,Promoting adequate and healthy diets for the elderly,889,PS
900,Improving the job skills and working conditions of older workers,1089,NS
901,Community-based interventions to support refugees,1290,PS
902,Encouraging social participation among older adults,749,NR
903,Interventions tailored to more vulnerable groups,526,S
904,Trauma-informed interventions and psychosocial support systems,939,NR
905,Enhancing mental health awareness,624,NR
906,Reducing stigma through public education and inclusion campaigns,772,NR
907,Strict supervision of antibiotic use in agriculture and livestock industry,468,S
908,Family-centered intervention program in NICU,838,NR
909,Implementation of safety measures at the workplace,1711,NS
910,Stronger legal protection of intellectual property rights,318,S
911,Government policy support for higher education institutions,891,NS
912,Supporting skill development and training programs to drive renewable energy ambitions,408,S
913,Carbon credits and trading mechanisms,734,NS
914,Targets for salt levels in foods,915,NR
915,Educational interventions for diabetes patients,2849,NR
916,Subsidised job programs for jobseekers,458,NS
917,The Environment Protection Act of 1986,844,NS
918,Intervention and protection of the environmental rights circuit to make it virtuous,887,NS
919,Structural reforms in healthcare systems,279,NS
920,Promoting local cultural heritage,975,S
921,Policies and programs to control corruption,1233,NS
922,Reducing bureaucratic obstacles,511,NS
923,Addressing drivers of racial disparities,956,NS
924,Nurturing dialogue and adopting inclusive decision-making strategies,263,S
925,Increasing funding for community-driven programs.,372,S
926,Labor market policies for ensuring employment,1151,NS
927,Engaging community groups in the planning and implementation of public green spaces,528,S
928,Integrating biodiversity considerations into urban planning to ensure the continued coexistence of wildlife within city landscapes,751,S
929,Landscape planning sensitive to the needs and requests of beekeepers.,2056,S
930,Increase green areas inside and outside the cities,1328,NS
931,Planning of urban green spaces,1148,NS
932,Housing first interventions for homeless people,893,NR
933,Legislative efforts to regulate private provision in healthcare,268,NR
934,Establishment of protocols for defining desired state and representative reaches for river monitoring,213,NR
935,Giving employees greater autonomy in the performance of their work,720,NR
936,Tree species replacement as a measure against pine bark beetle damage,707,S
937,Building an ecological and environmental governance system,624,S
938,Establishing ecological compensation mechanisms,841,S
939,Implementation of EMAS or the ISO 14001 standard for environmental management,800,S
940,Strengthening and strict enforcement of environmental regulations,1478,NS
941,Strategy of rural vitalization,874,NS
942,Exploring new ways of cleanly and effectively utilizing coal,904,NS
943,Efficiency of power plants.,334,NS
944,Germany's Energiewende policy,353,NS
945,Policy measures to implement the energy transition,587,NS
946,Educational programs to encourage building proper perception of one’s body image and body weight,643,NR
947,Incorporating urban agriculture into city plans,1502,S
948,Building better storage facilities,580,S
949,Upgrading and modernizing energy-consuming and old equipment,298,S
950,Maximizing the reuse of water,999,S
951,Community involvement for positive environmental impacts,442,S
952,Implementing ergonomic interventions,605,NR
953,"Promotion of purposeful maintenance and replenishment of soil fertility through crop rotation, crop residues, and animal manures",825,S
954,Embedding sustainability into the core of organizational identity and operations,484,S
955,Utilization of soil stabilization measures,904,S
956,Afforestation for soil protection and erosion prevention,472,S
957,Incentives for water efficient crops,895,S
958,"Strict enforcement of regulations against high-risk, persistent chemicals",931,NS
959,Demolition or reconstruction of dilapidated housing,186,NS
960,Establishment of an electronic record system in the health sector,840,NS
961,Regular monitoring and evaluation mechanisms,1719,S
962,Creating sustainable and practical support initiatives for families of children with autism,1211,NR
963,Mental health support tailored for older adults,501,NR
964,Introduction of new LNG terminals and filling stations,655,S
965,Policies to improve vehicle fuel efficiency,585,NS
966,Implementing an appropriate health monitoring program for drivers,738,NR
967,Fully integrate water into urban planning,436,S
968,Planning and development of smart cities,729,NS
969,Decentralization of water administration,528,S
970,Investing in water treatment infrastructure,578,S
971,Infrastructure investment in developing countries,520,NS
972,Elaboration of a sustainable urban development plan to address unsustainable growth and implement natural disaster protocols,23,S
973,Consider the needs and opinions of customers in improving their services,1797,NR
974,Implementing Corporate Social Responsibility (CSR),1902,NS
975,Development of a robust career counseling framework within schools and higher education institutions,701,NR
976,Enhancing the availability and accessibility of counselling services within educational institutions,343,NR
977,Integrating social justice principles into teacher education curricula to better equip educators for addressing socio-economic and cultural challenges,933,PS
978,Providing sufficient training for health professionals,1068,PS
979,Improving access to social workers,684,NR
980,Eradicate anticompetitive market practices,740,PS
981,"Improving judicial independence, responsiveness, and capability",1498,S
982,Including provisions on investors’ responsibilities in investment treaties,308,S
983,Multi-stakeholder participation in shaping effective governance structures,641,S
984,Ensuring animal welfare for livestock farms,600,PS
985,Screening for mental health disorders for all pregnant women and new mothers,1608,NR
986,Interventions aimed at promoting a healthier lifestyle,839,S
987,Improving legal aid services,791,NR
988,"Free, Prior, and Informed Consent (FPIC) for indigenous communities",1917,S
989,Financial incentives for forest conservation,528,NS
990,Empowering economic capacity of the local community,247,S
991,Converting farmland back to forest and grassland,1162,NS
992,Adoption of Sustainable Land Management (SLM) strategies,31,S
993,Forest management practices for better water management and protection,333,S
994,Landscape-level conservation planning,658,S
995,Optimizing the structure of land use,474,S
996,Participatory mapping and community data access,451,S
997,Improvement of the compensation mechanism for farmers affected by land use policy,395,S
998,Cash transfer programs to direct household income,1376,NS
999,Educate tourists with reasonable and effective methods to have environmental awareness.,577,S
1000,Allocate resources to improve tourism infrastructure,1526,NS
1001,"Transparent, participatory processes to address underlying trust deficits",659,PS
1002,Management of visitor numbers in protected areas,795,NS
1003,Developing tourism in an ecologically sustainable manner to maintain environmental integrity,1038,S
1004,Revising pricing policies in protected areas based on visitors' willingness to pay (WTP),290,S
1005,Integrated management of tourism development,1240,NS
1006,Involvement of local communities in developing tourism in favorable ways,1512,S
1007,Incentivizing eco-friendly practices,219,S
1008,Convention for Biodiversity (CBD) and the Aichi biodiversity goals,1043,S
1009,Extension services for cocoa farmers,894,S
1010,Fairtrade certification for farmers,200,S
1011,Fostering a multifunctional approach to farming in coffee production,1272,S
1012,Declaration of areas for communal conservation by the Socio Bosque Program,8,S
1013,Economic incentives for private land conservation,476,S
1014,Exploitation of Non-Timber Forest Products (NTFPs),507,S
1015,Financial support for agriculture,537,S
1016,Develop effective crisis management strategies to enhance organizational resilience in healthcare facilities.,400,NR
1017,European Union’s broad environmental policy,292,S
1018,Minimum size regulations for fish catches,615,S
1019,Optimization of transport logistics,764,S
1020,Targeted interventions for individuals with low SES,373,NR
1021,Incorporation of health and social referent figures to guarantee the sustainability of the integrated care model,503,NR
1022,Address social determinants to achieve optimal health outcomes,589,NR
1023,Microcredit programs for women empowerment,1196,NS
1024,Implement tailored support mechanisms to promote volunteering among socially disadvantaged groups.,495,NR
1025,Integration of a range of resiliency approaches at the local level,1030,S
1026,Expansion of the scale of cities and towns,958,NS
1027,National Development Plan 2013-2018,650,S
1028,Redlining practices in housing and neighborhood development,291,NS
1029,Adoption of a multiparty system,1312,NR
1030,Government support for MSMEs,1610,S
1031,Traditional urban renewal and community development policies,664,NS
1032,Engaging with residents on their needs and values.,145,S
1033,Crafting policies and urban planning strategies that prioritize the diverse well-being of urban residents,255,PS
1034,Sustainable urbanization policies,635,NS
1035,"Dissemination of research findings to policy makers, practitioners, and researchers",657,S
1036,Policies aimed at mitigating income inequality,1128,S
1037,"Investment in basic infrastructure, targeting the most vulnerable neighborhoods",37,S
1038,Forest management practices enacted following a natural forest disturbance,130,S
1039,Forest management plans that promote species diversity and structural complexity,576,S
1040,Development of conservation action plans,412,S
1041,Improving general public budget expenditure capacity,830,NS
1042,Carbon peaking and carbon neutralization ambitions,1522,NS
1043,Improvement of the structure of vehicle fleet,349,S
1044,Promoting public participation in decision-making processes,941,S
1045,Implementing a tax system adapted to the socio-economic context,1542,NS
1046,Support for energy retrofitting of residential and industrial buildings,1013,S
1047,Reintroductions of threatened species,1089,S
1048,Targeted education programs,378,S
1049,Conducting awareness campaigns on waste management,1990,S
1050,Providing rewarding incentives to citizens for recycling,432,S
1051,Maintaining current harvesting strategies,183,NS
1052,Support worker associations to enhance bargaining power,818,NS
1053,Engaging library staff in decision-making processes to tailor services to meet community needs,154,NR
1054,Integration of urban planning and land development with proactive climate adaptation.,926,S
1055,Improving waste management in agricultural production,111,S
1056,Internalize environmental costs,399,NS
1057,Enhancing the availability of adequate sanitation facilities,1429,S
1058,Land consolidation to address land fragmentation,802,NS
1059,Legal restrictions on the acquisition of agricultural land by natural and legal persons.,362,NS
1060,Enhancing access to education and healthcare,622,NS
1061,Establishment and amendment of regulation and policy regarding decentralization,1127,NS
1062,Stricter controls on agricultural burning,793,NS
1063,Community participation in village fund management,736,S
1064,Shifting agriculture practices,310,NS
1065,Improving access to financial inclusion,2063,NS
1066,Strategies for supporting changes at environmental level,18,S
1067,Efﬁcient glazing standards,1027,S
1068,Arrange adjacent buildings in relation to wind direction to enhance natural ventilation,1290,S
1069,"Recommendation for model refinement, particularly in convective heat transfer and airflow modeling using Computational Fluid Dynamics (CFD)",3,
1070,Government investment in education to reduce poverty,298,NR
1071,Improving women’s education,1221,NS
1072,Including children in the planning of school interventions,345,NR
1073,"Culturally tailored sessions for Latinos, with insight from ethnic-specific community action boards and focus groups",238,NR
1074,Mentorship programs to foster mentorship from peers and faculty members,678,NR
1075,Building strong organizational commitment,1006,NR
1076,Strengthen the leadership competencies of school principals,1208,NR
1077,Integration of IoT sensors for real-time soil health and weather monitoring,876,S
1078,Incorporate qualitative methods such as interviews or focus groups,719,NR
1079,Adoption of sustainable soil measures,735,S
1080,Effective allocation of health resources to targeted goals,462,PS
1081,Distribution of social assistance that is right on target,359,NS
1082,Telemedicine approach for health interventions,1131,S
1083,Well-being of Future Generations Act in Wales,128,PS
1084,Decentralization of health services to local governments,366,NS
1085,Transportation control during traffic peaks,1471,NS
1086,Conduct comparative studies across different regions for global applicability,397,
1087,Operational framework for just transitions,398,S
1088,Equity-focused strategies to decrease inequalities in healthcare access.,1159,NR
1089,Implementation of effective disease surveillance systems,567,S
1090,Extension of the auction system for renewable energy investments,595,S
1091,Developing a low-carbon economy,914,NS
1092,IMO’s regulation of ship fuel emissions,2439,NS
1093,Implementation of control measures to reduce PM2.5 concentrations,919,NS
1094,Transition to green economic development,705,S
1095,Advancing circular economy practices,2306,NS
1096,Strengthen incentive mechanisms for green technological innovation,915,S
1097,"Enhancing knowledge management through information-sharing platforms, continuous training, and mentoring programs",876,S
1098,Education interventions for dialysis patients,1087,NR
1099,Strengthen nutritional counseling of pregnant women at health settings,1373,NR
1100,Making enriched care planning routine practice in nursing homes,902,NR
1101,Providing adequate health facilities,792,PS
1102,Encouraging patient participation in decision-making processes,775,PS
1103,Continuous training and support for staff members to fully utilize technological developments.,392,PS
1104,Spatial planning and/or zoning rules,695,NS
1105,Strategic site selection and integrated land use planning for solar parks to reduce negative impacts and foster beneficial outcomes,618,S
1106,Implementation of measures for water quality management,406,NS
1107,Ensuring accessibility through assistive devices and adapted facilities,934,NR
1108,Implementing clinical practice guidelines,520,PS
1109,Construction of mitigation measures in endangered areas,382,S
1110,Development of policies that consider economic advancement and environmental considerations jointly,922,S
1111,Implementing conservation-focused regimes,197,S
1112,Capacity building of local government actors,471,S
1113,Establishing cooperative relationships with various partners,553,S
1114,Restrictions on some water uses,461,NS
1115,IS 456-2000 standards for water use in construction,5,
1116,"Securing funding through innovative financing models, such as public-private partnership.",689,S
1117,Better recruitment and selection processes,1047,NR
1118,Maximization of infrastructure development across all regions of Indonesia,247,NS
1119,Regulation of industrial discharges,1103,NS
1120,Educational support on water efficiency by water utilities,694,S
1121,Implementing an effective quality-management system,913,S
1122,Developing insurance for farmers in case of crop failures.,1414,NS
1123,Heightened administrative penalties for polluting practices.,1003,NS
1124,Providing flexible working arrangements for employees,1292,S
1125,Health-seeking behavior promotion to prevent visual impairments,374,NR
1126,Changes in corporate governance,573,NS
1127,Strengthening auditing and reporting standards,236,S
1128,Implementing a performance appraisal system,1160,PS
1129,Gain-framed messages to encourage preventive health-related behaviors,326,NR
1130,Design retention strategies based on accurate understanding of what causes employee turnover,988,NR
1131,Conduct training programs to enhance the skills and capabilities of employees.,1435,S
1132,Implementation of conservation agriculture practices,376,S
1133,Knowledge dissemination and education campaigns to foster public support for renewable energy development.,737,S
1134,Proper maintenance of the distribution network,966,S
1135,"Land Use Act, 1978",523,NS
1136,Construction of urban parks and green spaces,908,S
1137,Hotel managers focusing on the critical role of green training support in raising the bar for hotel sustainability impact,1278,S
1138,Enhancing the energy forecasting module to remain relevant in real-world situations.,835,S
1139,Enhancing farmer education,357,S
1140,Culturally sensitive and Indigenous-specific programs and policies,931,S
1141,Primary health care (PHC) system enhancement,803,NS
1142,Sustained investment in healthcare infrastructure,500,NR
1143,Nutritious food programs in schools,1855,S
1144,Implementing appropriate fertilizer management practices to increase rice production,476,S
1145,"Incorporating Indigenous students’ values, beliefs, and traditions into teaching",483,PS
1146,Financial incentives for farmers to accept changes,357,NS
1147,Enhanced accountability mechanisms,389,NS
1148,Establishment of truth commissions as part of transitional justice measures,1090,NR
1149,Community participation in the improvement of the health of migrants,1085,NR
1150,Evaluation of the measurement properties of the three scales presented in other contexts,343,
1151,Strengthening support for informal caregivers,2281,NS
1152,Ecotoxicological assessments to evaluate risks to endemic biota,410,S
1153,Restoring multiple habitats simultaneously,17,S
1154,"Further research and field trials to validate findings across different crops, soil types, and environmental conditions",171,S
1155,Tree planting by various stakeholders,982,S
1156,Housing interventions to support health,188,S
1157,National socio-economic measures to rectify income inequality,832,NS
1158,Welfare status and its redistributive policies,876,NS
1159,Unemployment benefit systems,1047,NS
1160,Management practices aimed at conserving Greater Sage-Grouse (GRSG) populations,215,S
1161,"Creation of efficient, green transport corridors",5,PS
1162,Transition from fossil fuels to renewable energy,615,NS
1163,Transformation of energy consumption and industrial structure,634,NS
1164,International standards for comfort temperature,815,S
1165,"Improving access, availability, and affordability of food on campus",418,NR
1166,School closures during the pandemic,340,NS
1167,Preservation of the best remaining forest fragments,225,S
1168,Support measures for offshore wind energy projects,1384,S
1169,AtlantOS program for basin-scale coordination of ocean observatories and integration towards users' needs and societal benefit,1001,S
1170,Standardization of socio-economic indicators for monitoring fishing activities,804,PS
1171,Diversification of land leases,516,NS
1172,Integrated operations across actors with varied operational foci to tackle multiple challenges and deliver co-benefits in forestry projects,4,PS
1173,Removal of administrative barriers in land administration,811,S
1174,EU Digital Services Act to regulate the responsibility of online platforms for content,1192,NR
1175,Active community participation in decision-making,662,S
1176,Identification and recognition of customary laws by the local government,611,S
1177,Restricting marketing of unhealthy foods,858,NS
1178,Improving environmental and housing conditions,231,S
1180,Implementation of water pollution control policies,590,NS
1181,"Engagement of governmental bodies, civil society, and private sector in food system planning",1090,S
1182,Continuous education to effectively mitigate malaria transmission,1581,NR
1183,Constructing flood-resistant buildings.,355,S
1184,Enhancing drainage systems,1342,NS
1185,Promoting the breeding of specific insect species for sustainable entomophagy,426,S
1186,Training of Community Health Workers (CHWs) to improve rural residents' access to care,1220,NR
1187,Provision of additional ponds and suitable terrestrial habitat to enhance amphibian population persistence,524,S
1188,Developing civic education in schools and universities,324,NR
1189,Investing in research and innovation,1597,S
1190,National Adaptation Plan to Climate Change,775,S
1191,Ensure healthy workload distribution for nursing staff,1080,NS
1192,Development of intervention programs to promote healthy sleep,1613,NR
1193,"Delineating the scope, protection objectives, and restrictive measures of water source protection zones",213,S
1194,Infrastructure management to prevent groundwater contamination,355,S
1195,"Public enlightenment on proper siting, construction and protection of wells and boreholes",506,S
1196,Educating farmers about sorghum production in various cropping systems,200,S
1197,Ensuring better prices for sugarcane produce,570,S
1198,In situ and ex situ conservation of genetic diversity,846,S
1199,Individual Transferable Quotas for fishing,992,NS
1200,Regular UAV monitoring of specific areas to provide comprehensive study for site managers and public authorities,877,S
1201,Controlling VOC emissions to mitigate O3 pollution,1211,NS
1202,Developing robust public awareness campaigns on air pollution and its health impacts,949,S
1203,Extended Producer Responsibility (EPR) for e-waste management,1793,NS
1204,Changes in policies,247,S
1205,Comprehensive human rights education for the apparatus and the community,338,NR
1206,Establishment of a committee composed of representatives from various sectors for intersectoral collaboration,293,PS
1207,Plan and execute more meetings online via software solutions.,262,S
1208,Debt management strategies to promote sustainable growth,469,NS
1209,"Utilisation potential of zakat, waqf, and Islamic values to develop inclusive and sustainable financial models",1853,S
1210,Strategies to downsize while maintaining the commitment of existing employees.,324,NS
1211,Mandatory disclosures to enhance consumer protection,413,NR
1212,Measures aimed at fostering economic growth,922,NS
1213,Government of Pakistan taking steps to tackle the energy crisis through renewable energy,111,S
1214,Sustained and comprehensive financial sector development policies,949,NS
1215,Future regulations for efficient extraction and use of mineral resources,878,NS
1216,Strategies to manage salinity and protect agricultural productivity,996,S
1217,Fortifying inland freight transport infrastructure,756,S
1218,Government support and incentives for green buildings,862,S
1219,Provision of low-interest loans,916,NS
1220,Establishing and facilitating access to credit,784,NS
1221,Optimizing the management of heating and cooling systems,1481,NS
1222,Providing patients with education,783,NR
1223,Introducing financial support programs to alleviate the financial burden on patients and their families.,128,NR
1224,"Integration of menstrual health into public health programs in schools, colleges, and workplaces",715,NR
1225,Financial incentive to reward better performance of health workers,761,NR
1226,Community organising and practising self-management to improve well-being and quality of life.,30,NR
1227,Management and control of soil erosion,1274,NS
1228,Creating and operating forest recreation facilities,196,S
1229,Monitor open surface water frequently with remote sensing technology,302,S
1230,Integrating health objectives into urban planning,501,NS
1231,Providing a more conducive work environment and working conditions,701,NR
1232,Land use planning and modelling using CA-Markov chain analysis to predict future land use changes and guide policy makers for sustainable urban development.,676,S
1233,Placing limits on work hours,896,NS
1234,Pension reforms that raise the retirement age,2461,NS
1235,Improved building design that incorporates passive design strategies,557,S
1236,Adaptive management frameworks,662,S
1237,Construction of compliant collection points for waste management,759,S
1238,Integrating cultural heritage into development plans and implementing adaptive reuse strategies,2325,S
1239,Strategies to enhance water resources in the region,316,S
1240,Modification of earthquake-related building standards,1085,S
1241,Development initiatives in Rwanda,710,S
1242,Programs that empower communities,160,S
1243,Protected areas for forest conservation,727,NS
1244,Focus mangrove management on protection and supplement with restoration,2259,S
1245,Adjustment of application strategies based on observations to mitigate contamination risks.,57,S
1246,Government measures to mitigate environmental noise levels,1449,NS
1247,Grain-for-Green Program,1108,NS
1248,"Enhance employee motivation through recognition, incentives, and meaningful work.",456,NR
1249,Implementing policies to support work/life balance,1241,NS
1250,Structural adjustment policies,347,NS
1251,Develop policies to mitigate food price volatility,599,NS
1252,National policies and their implementation,200,S
1253,Reducing trade barriers,1031,NS
1254,Fertilizer subsidy schemes,825,NS
1255,Economisation of fossil fuel subsidies,1042,NS
1256,"Develop and implement financial literacy programs tailored to the needs of smallholder farmers, focusing on savings, budgeting, investment, and loan management.",29,NR
1257,Establishing transparent and real-time market information systems,418,S
1258,Suchana programme,349,NR
1259,Regional laws requiring prevention plans at a municipality scale,257,S
1260,Afforestation initiatives,990,NS
1261,Practice of crop rotations,831,NS
1262,Returning wood ash to forest land to balance nutrient inputs and outputs,29,S
1263,"Restricting high-intensity activities, such as resource development and urban expansion, in ecologically sensitive areas.",643,S
1264,Implementation of signage interventions to encourage stair use in workplaces,109,NR
1265,Prompt specific goal setting in physical activity interventions,802,NR
1266,Using activity trackers and smartphone apps to monitor and encourage physical activity.,816,NR
1267,Establishing protected areas for shorebirds,1328,S
1268,Implementation of strategies for sustainable lake management,1142,S
1269,Planting more native and indigenous plant species for afforestation and habitat restoration,713,S
1270,Recommendations for screen time use for children,775,NS
1271,Nutrition policies on malnutrition in low-income countries,1237,NR
1272,Research on the effects of organic and conventional farming on pathogen transfer,8,
1274,Provision of regular screening programme by primary care providers,766,NR
1275,Policy actions that support physical activity,532,PS
1276,"Implementation of comprehensive interventions for communities, schools, families, and hospitals to prevent overweight and obesity in children and adolescents",1438,NR
1277,National reform and opening-up policies in China,463,NS
1278,Invest in electricity infrastructure,837,NS
1279,Diversification of energy sources to ensure energy security,748,S
1280,Expanding access to childcare,1328,NS
1281,Strengthening labour rights enforcement,930,NR
1282,Prevention strategies and support services for survivors of violence against women.,1504,NR
1283,Regulation and protection of part-time workers,516,NS
1284,Education and awareness-raising campaigns to promote sustainable consumption behavior,544,S
1285,Development of regulatory and policy frameworks for sustainable construction practices,550,S
1286,Streamlining of customs procedures,758,S
1287,Improved infrastructure to support sustainable logistics,1427,S
1288,Regional development through Special Economic Zones (SEZs),550,NS
1289,Fostering the development of high-tech industries,409,S
1290,Development of the “Chang-Zhu-Tan” city cluster,1322,S
1291,Participation of civil society in the integration and development of border areas,112,NR
1292,Strengthening collaboration between local and regional authorities,258,S
1293,Food corporation enterprises putting efforts into creating and spreading renewable energy use and environmentally friendly products.,6,S
1294,Enhanced regional cooperation to address environmental issues,409,S
1295,Integrated land use plan to mitigate impacts and changes in the hydrological system,135,S
1296,Nitrates Directive requiring fertilization planning at the farm level,673,S
1297,Establishment of a periodic review mechanism for split factors,73,
1298,Development of quantitative classification criteria for regional classification methods,268,NR
