title,abstract,studied_sector,year_of_publication,doi,extracted_data
Investigating the Link between Social Media Use and Need to Belong,"The need to belong is a fundamental human motivation to be accepted into social relationships and be part of social groups. It has been hypothesized that one of the reasons why people use social media is to manage and maintain their social relationships. This study examined emerging adults' frequency of social media use and the relationship between social media use and need to belong using data from the Emerging Adulthood Measured at Multiple Institutions 2 (EAMMI2) collaboration. As expected, need to belong was positive associated with social media use.",['Information and communication'],2022,,
Summary of Massachusetts Clean Energy Center's Workforce Needs Assessment for the City of Lawrence,"This report summarizes findings from the Massachusetts Clean Energy Center's workforce needs assessment to support the City of Lawrence in understanding workforce development resources, opportunities, and gaps for clean energy jobs. It analyzes baseline employment data, future projections, and training program availability in the Northeast Region, with specific focus on energy efficiency, renewable energy, and electrification workforce needs.","['Electricity, gas, steam, air conditioning', 'Construction', 'Education']",2024,,
Exploring the effect of inclusive leadership on psychological distress through organizational climate mediation and moderation,"A new leadership approach called inclusive leadership has emerged in response to today's crises and disasters used by different organizations. Therefore, this study was conducted to identify the effectiveness of inclusive leadership and organizational climate in reducing the widespread prevalence of this symptom among 423 secondary school teachers. Field research data collection was manually analysed using the International Business Machine-Statistical Package for Social Sciences (IBM-SPSS) with moment structure (AMOS) analysis and Jamovi software. The results of the inclusive leadership study are significantly related to organizational climate. The organizational climate is significantly and inversely related to psychological distress. The relationship between inclusive leadership and psychological distress was found to be positive but not significant. Nevertheless, organizational climate fully mediates the relationship between inclusive leadership and psychological distress. However, organizational climate has partially moderated the relationship between inclusive leadership and psychological distress. The study is beneficial to organizational leaders especially the ministry of education and school principals who face diverse secondary school teachers. Finally, it contributes to the development of leadership, management and psychology.",['Education'],2024,10.18488/73.v12i2.3787,
Poster Abstracts,"This collection of poster abstracts from the Journal of Nutrition Education and Behavior covers research on paternal parenting practices and Latino youth behaviors, social evaluation effects on food choices, communication methods for teaching kitchens, parental awareness of school wellness policies, and barriers to accessing healthy foods in rural communities.","['Education', 'Health and social work']",2018,,
Smart Building Energy Management using Nonlinear Economic Model Predictive Control,"Owing to the call for energy efficiency, the need to optimize the energy consumption of commercial buildings–responsible for over 40% of US energy consumption–has recently gained significant attention. Moreover, the ability to participate in the retail electricity markets through proactive demand-side participation has recently led to development of economic model predictive control (EMPC) for building's Heating, Ventilation, and Air Conditioning (HVAC) system. The objective of this paper is to develop a price-sensitive operational model for building's HVAC systems while considering inflexible loads and other distributed energy resources (DERs) such as photovoltaic (PV) generation and battery storage for the buildings. A Nonlinear Economic Model Predictive Controller (NL-EMPC) is presented to minimize the net cost of energy usage by building's HVAC system while satisfying the comfort-level of building's occupants. The efficiency of the proposed NL-EMPC controller is evaluated using several simulation case studies.","['Electricity, gas, steam, air conditioning']",2019,,
MEDICAL AND SOCIAL ASPECTS OF FLOODS AND THEIR MEDICAL RISK MANAGEMENT,"Currently, there is a steadily increasing trend in losses due to flooding. Nevertheless, global warming, followed by an inevitable overuse of river valleys might further contribute to an increase in the frequency and destructive power of floods. It is quite important to trace the cause and effect chain of the economic, social and ecological impacts during the flood hazard. A bibliographic research was carried out by using historical and descriptive methods based on the keywords, underlining the medical, social and economic significance of the present issue. There are 57 natural lakes and about 3 400 artificial water reservoirs found on the territory of the Republic of Moldova, including 90 amounting to over 1 million m³ per each. The accumulation basins help in preventing and combating overflows and flooding during spring and summer periods. Most of the dams do not comply with the technical norms, as they do not have channels of respite and drainage, thus, a dam failure on top dike might generate the collapse of the others at the lower watercourse, resulting in disastrous consequences. Therefore, individual health protection measures and appropriate population behavior are vitally important in catastrophic floods. Over the last decades, the floods occurring in the Republic of Moldova have conditioned the need to increase interventions for prevention and reduction of both economic and human losses both at national and international levels.","['Water, sewerage, waste', 'Public administration, defence, social security', 'Health and social work']",2020,10.5281/zenodo.3701200,
The Price Elasticity of Natural Gas Demand in China: A Meta-Regression Analysis,"Since natural gas has become a new star in China's energy mix, a reliable estimation of the price elasticity of natural gas demand is crucial if we are to understand how energy price changes affect natural gas consumption. In this paper, we conduct a Meta-regression analysis to quantitatively synthesize empirical estimates of the price elasticity of natural gas demand reported in previous studies, provide true underlying values, and explain the heterogeneity of the aforementioned estimates. The Fixed-effects model and ordinary least squares (OLS) are applied to estimate the regression models. As a result, this paper reports a mean elasticity of −1.521 and 0.410 for the short- and long-run own-price elasticity, separately; −0.762 and 0.008 for the short- and long-run cross-price elasticity-coal to natural gas, respectively; 2.122 and 1.884 for the short- and long-run cross-price elasticity-electricity to natural gas, separately; and 2.267 and 1.275 for the short- and long-run cross-price elasticity-oil to natural gas, respectively. Our results suggest that natural gas consumption increases with the decrease of its own and coal prices in the short term and rise of electricity and oil prices. It also shows that almost all heterogeneity can be explained by the type of data, sample period, models of analysis, geographical region, and type of consumer.","['Electricity, gas, steam, air conditioning']",2018,10.3390/en11123255,
Estimated and forecasted trends in domain specific time-use and energy expenditure among adults in Russia,"Examination of historical trends and projections in estimated energy expenditure in Russia is important given the country's economic downturns and growth. Nationally representative data from the Russia Longitudinal Monitoring Survey (RLMS) from 1995-2011 was used to determine the metabolic equivalents of task (MET)-hours per week from occupational, domestic, travel, and active leisure physical activity (PA) domains, as well as sedentary leisure time (hours per week) among adults 18-60 years. Additionally, we projected what these values would be like in 2020 and 2030 if observed trends continue. Among male adults, the largest contributor to total PA was occupational PA followed by travel PA. In contrast, domestic PA followed by occupational PA contributed most to total PA among female adults. Total PA was 282.9 MET-hours per week in 1995 and declined to 231.7 in 2011. Total PA is projected to decrease to 216.5 MET-hours per week in 2020 and to 193.0 MET-hours per week in 2030. The greatest relative declines are occurring in travel PA. Female adults are also exhibiting significant declines in domestic PA. Changes in occupational and active leisure PA are less distinct. Policies and initiatives are needed to counteract the long-term decline of overall physical activity linked with a modernizing lifestyle and economy among Russian adults.","['Public administration, defence, social security', 'Health and social work']",2014,,
Climate Impacts on Natural Capital: Consequences for the Social Cost of Carbon,"The effects of climate change on natural systems will be substantial, widespread, and likely irreversible. Warmer temperatures and changing precipitation patterns have already contributed to forest dieback and pushed some species toward extinction. Natural systems contribute to human welfare both as an input to the production of consumption goods and through the provision of nonuse values (i.e., existence and bequest values). But because they are often unpriced, it can be difficult to constrain these benefits. Understanding how climate change effects on the natural capital stock affect human well-being, and therefore the social cost of carbon (SCC), requires understanding not just the biophysical effects of climate change but also the particular role they play in supporting human welfare. This article reviews a range of topics from natural capital accounting through climate change economics important for quantifying the ecological costs of climate change and integrating these costs into SCC calculations.","['Agriculture, forestry, fishing', 'Electricity, gas, steam, air conditioning', 'Water, sewerage, waste', 'Trade; vehicle and motorcycle repair', 'Transport and storage', 'Financial and insurance services', 'Professional, scientific, technical services', 'Public administration, defence, social security', 'Education', 'Health and social work']",2022,10.1146/annurev-resource-111820-020204,
THE EFFECT OF SELF SERVICE TECHNOLOGY AND SERVICE QUALITY ON LOYALTY WITH SATISFACTION AS MODERATION,"Loyalty or faithfulness of a consumer is one thing that needs to be considered by financial service companies such as banking. The purpose of this study was to determine the effect of self-service technology and service quality on loyalty with satisfaction as moderation. The population in this study is the largest bank customers in Indonesia. The results showed that self-service technology and service quality had an effect on loyalty. Then, satisfaction as a moderation that is able to moderate self-service technology and service quality on loyalty.",['Financial and insurance services'],2023,,
"Gender and minority background as moderators of teacher expectation effects on self-concept, subjective task values, and academic performance","Two developments in teacher expectation research formed the basis for the current study. First, researchers have begun investigating the self-fulfilling prophecy effects of teacher expectations on a variety of psycho-social outcomes in addition to the effects on academic achievement. Second, researchers have started to realize that some groups of students appeared to be more vulnerable or susceptible to teacher expectations. The current study aimed to investigate whether students' gender and minority background were moderators of teacher expectation effects for both academic outcomes and self-concept and subjective task value in the mathematics domain. The study is based on a sample of 1663 students (Grades 6 and 7) in 42 classes from three intermediate schools in New Zealand. Multilevel modeling was applied using MLwiN software. First, after controlling for students' beginning-of-year mathematics achievement, teacher expectations were higher for Asian and lower for Māori, compared with New Zealand European students. Expectations within the domain of mathematics, however, were higher for girls than for boys. Second, teachers' beginning-year expectations were predictive of achievement and self-concept of students at end-of-year, after controlling for beginning-of-year achievement and self-concept. Teachers' expectations were, however, not predictive of end-of-year intrinsic and utility value. Third, we did not find evidence for moderation effects of students' gender and minority background. These findings imply that despite the roughly similar magnitude of teacher expectation effects for various student groups, teacher expectations may contribute to gaps in students' achievement and self-concept because of differential expectations at the beginning of the year.",['Education'],2023,10.1007/s10212-022-00650-9,
DESIGN OF SHAKE TABLE TESTS OF MULTI-LEAF MASONRY WALLS BEFORE AND AFTER RETROFITTING,"A significant proportion of the built heritage in historic centres is constituted by rubble stone masonry structures. Collapses by leaf separation and disaggregation observed after earthquakes highlight their dramatic vulnerability, especially under out-of-plane loads. Nevertheless, their dynamic response still needs to be fully investigated and their capacity may be overestimated by assessment approaches based on rigid-body mechanics. Effective retrofitting solutions are also needed to protect human lives and safeguard the built heritage, while ensuring the conservation of its architectural value. This paper describes the design of a shake table investigation on stone masonry walls, whose materials and arrangement reproduce those surveyed in the villages of central Italy struck by the 2016-2017 earthquake sequence. The test setup was conceived to induce out-of-plane vertical bending under earthquake base motion and investigate the dynamic response of multi-leaf rubble stone masonry and the gain in seismic capacity that can be achieved with mortar-based composite reinforcements, designed to prevent the leaf separation and disaggregation of the wall without compromising its fair face.",['Construction'],2020,,
Can we make the UN Decade on Ecosystem Restoration count?,"This editorial perspective discusses the opportunities and challenges of the United Nations Decade on Ecosystem Restoration (2021-2030), examining historical environmental initiatives in Australia and New Zealand, current government programs, and the potential for economic stimulus packages to support ecosystem restoration while addressing climate change, biodiversity loss, and post-COVID-19 recovery.","['Agriculture, forestry, fishing', 'Public administration, defence, social security', 'Education', 'Health and social work']",2020,10.1111/emr.12436,
Exploring Demand Charge Savings from Commercial Solar,"This analysis estimates demand charge savings from commercial solar across a range of customer types, US locations, PV system characteristics, and demand charge designs. We use simulated load and PV generation profiles, based on 17 years of weather data for 15 cities, 15 customer types, 10 PV system sizes, and 4 panel orientations. Demand charge savings are calculated for demand charge designs with and without seasonally varying prices and ratchets, and for various peak period definitions and averaging intervals.","['Electricity, gas, steam, air conditioning']",2017,10.2172/1393636,
Assessment of the impact of local energy policies in reducing greenhouse gas emissions,"The present work investigates the potential energy savings coming from a careful and detailed local energy policy. The paper analyzes and assesses from technical, economic and environmental viewpoints different initiatives in the energy sector aimed at increasing energy efficiency in end-uses and reducing overall carbon emissions. The results are based on energy planning for five Italian urban areas sized at about fifty thousand inhabitants. The analysis has been developed with the aim of reaching generally applicable criteria suitable for evaluating the local energy policy contribution to the greenhouse gas (GHG) emissions reduction. Several initiatives for the private and public sectors have been considered, such as: (i) the introduction of combined heat and power generation based on useful thermal demand, suitable for the industry and service sectors (swimming pools, large distribution organizations); (ii) generation of electricity from renewables (solar energy, biomass); (iii) thermal insulation of private and public buildings, such as schools; (iv) introduction of micro-combined heat and power generation in the residential sector. For each solution the primary energy reduction and the consequent reduction in GHG emissions have been evaluated and a feasibility analysis has been developed in order to assess the profitability of the investment. Great attention has been paid to the public sector, which has an important role in providing leadership and driving changes in other sectors; furthermore, a rational use of energy combined with the exploitation of country-based incentives is able to reduce the public administrative expenditure. The results show that local energy policy can give an important contribution to gas emission reduction targets, and underline the fundamental role of public sector initiatives.","['Electricity, gas, steam, air conditioning', 'Public administration, defence, social security', 'Education', 'Health and social work', 'Arts, entertainment, recreation']",2010,10.2495/EEIA100051,
A New Computational Tool for the Development of Advanced Exergy Analysis and LCA on Single Effect LiBr–H2O Solar Absorption Refrigeration System,"A single effect LiBr–H2O absorption refrigeration system coupled with a solar collector and a storage tank was studied to develop an assessment tool using the built-in App Designer in MATLAB®. The model is developed using balances of mass, energy, and species conservation in the components of the absorption cooling system, taking into account the effect of external streams through temperature and pressure drop. The whole system, coupled with the solar energy harvesting arrangement, is modeled for 24 h of operation with changes on an hourly basis based on ambient temperature, cooling system load demand, and hourly solar irradiation, which is measured and recorded by national weather institutes sources. Test through simulations and validation procedures are carried out with acknowledged scientific articles. These show 2.65% of maximum relative error on the energy analysis with respect to cited authors. The environmental conditions used in the study were evaluated in Barranquilla, Colombia, with datasets of the Institute of Hydrology, Meteorology and Environmental Studies (IDEAM), considering multiannual average hourly basis solar irradiation. This allowed the authors to obtain the behavior of the surface temperature of the water in the tank, COP, and exergy efficiency of the system. The simulations also stated the generator as the biggest source of irreversibility with around 45.53% of total exergy destruction in the inner cycle without considering the solar array, in which case the solar array would present the most exergy destruction.","['Manufacturing', 'Electricity, gas, steam, air conditioning']",2021,10.3390/lubricants9080076,
Improved Air-Conditioning Demand Response of Connected Communities over Individually Optimized Buildings,"Connected communities potentially offer much greater demand response capabilities over singular building energy management systems (BEMS) through an increase of connectivity. The potential increase in benefits from this next step in connectivity is still under investigation, especially when applied to existing buildings. This work utilizes EnergyPlus simulation results on eight different commercial prototype buildings to estimate the potential savings on peak demand and energy costs using a mixed-integer linear programming model. This model is used in two cases: a fully connected community and eight separate buildings with BEMS. The connected community is optimized using all zones as variables, while the individual buildings are optimized separately and then aggregated. These optimization problems are run for a range of individual zone flexibility values. The results indicate that a connected community offered 60.0% and 24.8% more peak demand savings for low and high flexibility scenarios, relative to individually optimized buildings. Energy cost optimization results show only marginally better savings of 2.9% and 6.1% for low and high flexibility, respectively.","['Electricity, gas, steam, air conditioning']",2021,10.3390/en14185926,
Aquatic Exercise Positively Affects Physiological Frailty among Postmenopausal Women: A Randomized Controlled Clinical Trial,"Frailty is a risk factor associated with aging. Physical exercise is an important lifestyle factor that can help to avoid risks associated with aging. Therefore, we aimed to determine the effects of aquatic exercise for 12 weeks on body composition, cardiovascular disease risk factors, insulin resistance, and aging-related sex hormones in elderly South Korean women. Twenty-two women aged 70–82 years were randomly assigned to groups that participated or did not participate (controls; n = 10 in aquatic exercise for 60 min, three times per week for 12 weeks (n = 12). Exercise intensity defined as the rating of perceived exertion (RPE), was increased from 12–13 to 13–14, and to 14–15 during weeks 1–4, 5–8, and 9–12, respectively. Body composition (skeletal muscle mass, ratio (%) body fat, and waist circumference), cardiovascular disease risk factors (total, high-density lipoprotein, and low-density lipoprotein cholesterol), insulin resistance (glucose, insulin, and homeostatic model assessment of insulin resistance [HOMA-IR]), and aging-related sex hormone changes (dehydroepiandrosterone-sulfate [DHEA-S]) and sex hormone-binding globulin [SHBG]) were assessed. Aquatic exercise safely improved body composition, reduced insulin resistance, and positively affected the sex hormones DHEA-S and SHBG as well as blood lipid profiles. Our findings suggested that the aquatic exercise program positively altered blood lipids, regulated glucose levels, and sex hormone levels. Therefore, regular, and continuous aquatic exercise is recommended to prevent frailty, decrease cardiovascular risk, and provide older women with an optimal quality of life as they age.",['Health and social work'],2021,10.3390/healthcare9040409,
Plug-in hybrid electric vehicles in the smart grid environment: an economic model of load management by demand response,"Environmental concern regarding the consumption of fossil fuels is among the most serious challenges facing the world. As a result, utilisation of more renewable resources and promotion of a clean transport system such as the use of Plug in Hybrid Electric Vehicles (PHEVs) became the forefront of the new energy policies. However, the breakthrough of PHEVs in the automotive fleet increases concerns around the stability of power system and in particular, the power network. This research simulates the aggregate load profile of the UK with presence of PHEVs based upon different price scenarios. The results show that under the fixed rate and time of use programmes in the current grid, the extra load of the electric vehicles intensifies the consumption profile and also creates new critical points. Thus, there should always be excess standby capacity to satisfy peak demand even for a short period of time. On the other hand, when the consumers do not pay the price based on the actual cost of supply, those who consume less in peak hours subsidise the ones who consume more and this cross subsidy raises a regulatory issue. On the contrary, a smart grid can accommodate PHEVs without creating technical and regulatory problems. This positive consequence is the result of demand response to the real time pricing. From a technical point of view, the biggest chunk of PHEVs' load will be shifted to the late evening and the hours of minimum demand. Besides, from a welfare analysis standpoint, real time pricing creates no deadweight losses and corresponding demand response will limit the ability of suppliers to increase the spot market clearing price above its equilibrium level.","['Transport and storage', 'Electricity, gas, steam, air conditioning']",2012,10.1051/epjconf/20123304008,
"Physical activity of young mothers living in rural and urban areas and their free time budget, as well as to indicate motivating factors and barriers encountered during physical activity","The aim of the study was to determine the level of physical activity of young mothers living in rural and urban areas and their free time budget, as well as to indicate motivating factors and barriers encountered during physical activity. In the study a diagnostic survey method was applied, including two survey IPAQ questionnaires – the long version and author’s questionnaire. A representative sample consisted of 1 064 young mothers giving birth in 2017. Student T test and discriminate function analysis were used in statistical analysis. The level of physical activity of young mothers from rural areas did not differ from that of young mothers from urban areas. However, certain differences appeared while taking into account different aspects of physical activity. The main motives for participation in physical activity of young mothers from rural areas were to improve their physical condition and reduce pain complaints. Young mothers from towns emphasized such motives as strengthening self-confidence and improving their position in the family. While the main barriers for both group of respondents in physical activity were the lack of money and interest in occasional events.",['Health and social work'],2020,10.21203/rs.3.rs-15725/v1,
A review on the potentials of using feeds rich in water-soluble carbohydrates to enhance rumen health and sustainability of dairy cattle production,"Cows are adapted to degrade structural plant carbohydrates (SC), such as cellulose and hemicelluloses, prevailing in grasses. Yet, the need for energy-dense diets in many intensive dairy production systems has shifted the dairy cattleʼs diet from SC-rich to high levels of starch. Feeding of starch-rich diets increases the risk of ruminal acidosis in cows, and feeding starch in the form of grains intensifies the competition over cereal grains and arable land among different livestock species, as well as between livestock and humans. Besides cellulose and hemicelluloses, grasses are also often rich in water-soluble carbohydrates (WSC), which comprise mono-, di-, oligo- and polysaccharides (fructans). Although the ruminal fermentation profile of mono- and disaccharides resembles that of starch, the degradation of oligo- and polysaccharides is slower, and their fermentation elicits a rather protecting effect on ruminal pH. When harvested in an early phase (i.e. ear emergence), grass hay and silages can reach WSC levels up to 150–200 g kg⁻¹ dry matter and energy levels close to starch-rich diets, allowing a significantly reduced inclusion of concentrate supplements. By doing so, this will enhance both rumen health and the sustainability of milk production. However, because the WSC are chemically very heterogeneous, the patterns and extent of their ruminal fermentation are difficult to predict without a clear analytical characterization. This review article aims to summarize both the benefits and potentials, as well as the challenges, with respect to using WSC-rich feedstuffs in the nutrition of dairy cattle and their effects on ruminal fermentation characteristics and milk production.","['Agriculture, forestry, fishing']",2021,10.1002/jsfa.11358,
Toxic Habits and Well-Being Measures in Spanish Healthcare University Students during the COVID-19 Pandemic,"Background: Unhealthy lifestyles are strongly entrenched in healthcare universities and have sometimes been linked to stress or lack of sleep. This study investigated the prevalence of toxic habits (smoking, patterns of harmful alcohol use, and illicit drug use), stress levels, perceived health status, and sleep duration and assessed the connections between toxic habits and said well-being measures, as well as healthcare students' perception of the influence of the COVID-19 pandemic on these health-related behaviors. Methods: In a cross-sectional study, healthcare students from Alfonso X University (Spain) completed a health survey composed of Alcohol Use Disorders Identification Test (AUDIT-C), Perceived Stress Scale (PSS-10), self-perceived health status, and the number of hours of sleep. Results: A total of 997 healthcare students completed the survey, of which 982 were analyzed. Being a smoker (32.2%) was associated with worse health status and insufficient sleep. Risk drinkers (33.2%) were associated with being female, and the consumption of cannabinoids (6.7%), with being male. These three toxic habits were related to each other. High levels of stress (28.2%) were correlated with worse ratings in the perception of health status (29.2%) and with insufficient sleep (45.8%), and all of them were associated with the female sex. Respectively, 49.3% and 44.2% of students recognized a worsening in their perception of stress and their sleep habits during the pandemic. Conclusion: Healthcare universities must carry out health promotion programs for stress management, sleep habits, and unhealthy lifestyles.","['Education', 'Health and social work']",2022,10.3390/ijerph192013213,
Prevention and Intervention: Challenges Experienced by Families With a Child With Diabetes in Rural Nebraska,"In rural and medically underserved communities, children with type 1 diabetes and their families can struggle to get care matching current diabetes practice guidelines potentially resulting in an increased risk for health complications. Due to a dearth of pediatric endocrinologists in rural Nebraska and Iowa families are forced to travel extensively to receive care increasing the financial impact for families. Although these factors contribute to challenges for rural families, it is not clear if families living in rural Nebraska and Iowa experience similar or additional challenges in the quality and accessibility of health care, in daily management of the disease, and successful return to families' previous daily routines. Therefore, the aims of this qualitative study were to identify the specific, unique needs of rural families affected by type 1 diabetes.",['Health and social work'],2022,10.5014/ajot.2022.76S1-PO183,
Deviating from the Plan: Assessing the Impact of Forest Management Delays on Ecosystem Function,"Forests are under increasing stress due to changes in disturbance regimes, such as wildfire and pest or disease outbreaks, an increase in more severe and prolonged drought, and changes in land use. These stressors are already having an observable impact on forests in the western United States. Many forests within the western US are managed by the US Forest Service. Forest management is important as a tool for increasing a forest's ability to withstand or recover from these stresses. Additionally, because of the forest's influence on interactions between the land surface and the atmosphere, forest management has implications for future energy, water, and carbon cycles. However, management is driven by socio-economic, political, and ecological needs which can influence the timing of management activities. Forests are dynamic ecosystems, and changes to the timing of management through delays could lead to unanticipated impacts on a forest's structure, productivity, and ecohydrological function. Land surface models (LSMs) are one tool used to investigate land surface processes and land-atmosphere interactions. LSMs represent vegetation dynamics in different and increasingly sophisticated ways. While the fidelity of plant biophysical and biogeochemical process representation has increased in many of these models, the representation of forest management is still very simplistic. Until recently, the temporal aspects of management have rarely been included in studies using LSMs. Here, we addressed this challenge by including the temporal details of representative timber harvest activities from the western USA within LSM simulations. We hypothesized that changes in the timing of management activities can have long term impacts on the structure and functioning of a forest. To test this hypothesis, we quantified vegetation management activities in the western USA and investigated the role specific project characteristics have on potential project delays. As a proof-of-concept, we used this data to inform the timing of single point scale logging simulations using the Functionally Assembled Terrestrial Ecosystem Simulator of the Community Land Model (CLM-FATES) for a ponderosa pine dominated forest in southern Idaho. A challenge encountered in simulating realistic forests was a bias towards smaller-diameter trees (i.e., <50 cm diameter at breast height), relative to observations. In overcoming this challenge, we expanded on current work within the CLM-FATES and greater LSM community to better parameterize the model for temperate, evergreen forests. We developed methods to generate multiple parameter ensembles and simulated these ensembles under different climate forcing and coexistence conditions. Over the course of this work, we developed significant and important overarching findings about critical facets of simulating managed forest ecosystems. First, we found that environmental regulations (here the type of NEPA analysis required for a project), the length of time to complete that analysis, and the type of management activity had the biggest impact on the probability of project implementation. Second, from logging simulations, we found that the timing of treatments can have long term impacts on the resulting forest size-structure, but timing has less of an impact on the long-term functioning of the forest as indicated by the model. Third, more complex ecosystems - as represented by the addition of an additional plant functional type - can lead to more realistic distributions of tree size classes, although this added ecosystem complexity does not appear to assist in identifying optimal sets of model parameters in CLM-FATES. This work makes an important contribution to deploying sophisticated, demography based LSMs in western US forests by demonstrating how models can now capture legacies of human interventions and that calibration of model parameters is complex and constrained by the existing structure and makeup of these systems. These results highlight the importance of representing different aspects of human systems in ecosystem models as well as highlighting the tension between a need to improve model calibration without increasing model complexity.","['Agriculture, forestry, fishing', 'Public administration, defence, social security']",2022,,
