;record_id;type_of_reference;title;secondary_title;language;keywords;abstract;author_address;custom3;issn;year;doi;accession_number;notes;date;volume;start_page;end_page;number;custom7;custom6;first_authors;included;Cleaned_Title;DOI;Keywords
85;85;JOUR;Net-zero emission vehicles shift and equitable ownership in low-income households and communities: why responsible and circularity business models are essential;DISCOVER SUSTAINABILITY;English;['SOCIAL INNOVATION', 'JUSTICE'];The UK Plan for a Green Industrial Revolution aims to ban petrol and diesel cars by 2030 and transition to electric vehicles (EVs). Current business models for EV ownership and the transition to net-net zero emissions are not working for households in the lowest income brackets. However, low-income communities bear the brunt of environmental and health illnesses from transport air pollution caused by those living in relatively more affluent areas. Importantly, achieving equitable EV ownership amongst low-and middle-income households and driving policy goals towards environmental injustice of air pollution and net-zero emissions would require responsible and circular business models. Such consumer-focused business models address an EV subscription via low-income household tax rebates, an EV battery value-chain circularity, locally-driven new battery technological development, including EV manufacturing tax rebates and socially innovative mechanisms. This brief communication emphasises that consumer-led business models following net-zero emission vehicles shift and decisions must ensure positive-sum outcomes. And must focus not only on profits and competitiveness but also on people, planet, prosperity and partnership co-benefits.;Univ Birmingham, Lloyds Banking Grp Ctr Responsible Business, Birmingham Business Sch, Birmingham B15 2TT, England;University of Birmingham;2662-9984;2021;WOS:000953285300001;['Times Cited in Web of Science Core Collection:  3', 'Total Times Cited:  3', 'Cited Reference Count:  33'];MAR 11;2;10.1007/s43621-021-00022-1;14;1;;;;;-1;Net-zero emission vehicles shift and equitable ownership in low-income households and communities: why responsible and circularity business models are essential;"10.1007/s43621-021-00022-1
";"SOCIAL INNOVATION; JUSTICE"
86;86;JOUR;Inertial Navigation Meets Deep Learning: A Survey of Current Trends and Future Directions;RESULTS IN ENGINEERING;English;['Inertial sensing', 'Navigation', 'Deep learning', 'Sensor fusion', 'Autonomous platforms', 'MULTISENSOR SYSTEM INTEGRATION', 'NEURAL-NETWORK', 'INS/GPS INTEGRATION', 'AUV NAVIGATION', 'ODOMETRY', 'ORIENTATION', 'ALGORITHM', 'TRACKING', 'GPS/INS', 'FILTER'];Inertial sensing is employed in a wide range of applications and platforms, from everyday devices such as smartphones to complex systems like autonomous vehicles. In recent years, the development of machine learning and deep learning techniques has significantly advanced the field of inertial sensing and sensor fusion, driven by the availability of efficient computing hardware and publicly accessible sensor data. These data-driven approaches primarily aim to enhance model-based inertial sensing algorithms. To foster further research on integrating deep learning with inertial navigation and sensor fusion, and to leverage their potential, this paper presents an indepth review of deep learning methods in the context of inertial sensing and sensor fusion. We explore learning techniques for calibration and denoising, as well as strategies for improving pure inertial navigation and sensor fusion by learning some of the fusion filter parameters. The reviewed approaches are categorized based on the operational environments of the vehicles-land, air, and sea. Additionally, we examine emerging trends and future directions in deep learning-based navigation, providing statistical insights into commonly used approaches.;Univ Haifa, Charney Sch Marine Sci, Hatter Dept Marine Technol, Haifa, Israel;University of Haifa;2590-1230;2024;WOS:001374144400001;['Times Cited in Web of Science Core Collection:  2', 'Total Times Cited:  2', 'Cited Reference Count:  162'];DEC;24;10.1016/j.rineng.2024.103565;103565;;;;DEC 2024;;-1;Inertial Navigation Meets Deep Learning: A Survey of Current Trends and Future Directions;"10.1016/j.rineng.2024.103565
";"Inertial sensing; Navigation; Deep learning; Sensor fusion; Autonomous platforms; MULTISENSOR SYSTEM INTEGRATION; NEURAL-NETWORK; INS/GPS INTEGRATION; AUV NAVIGATION; ODOMETRY; ORIENTATION; ALGORITHM; TRACKING; GPS/INS; FILTER"
89;89;CPAPER;Fuzzy Multi-Agent approach for monitoring SMEs sustainable SC under uncertainty;CENTERIS2019--INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS/PROJMAN2019--INTERNATIONAL CONFERENCE ON PROJECT MANAGEMENT/HCIST2019--INTERNATIONAL CONFERENCE ON HEALTH AND SOCIAL CARE INFORMATION SYSTEMS AND TECHNOLOGIES;English;['Monitoring', 'Sustainable Supply Chain (SSC)', 'Fuzzy Logic (FL)', 'Multi-Agent System (MAS)', 'MC/MODM methods', 'uncertainty', 'GREEN SUPPLY CHAIN'];In a context of Small and Medium Enterprises (SMEs), the concept of sustainability has become increasingly important within the decision making strategies. The competitiveness and uncertain environment has also a key role for decision makers to find best practices to achieve sustainability which is concerned with integrating environmental, social and economic goals across a supply chain process. This paper proposes an intelligent dynamic system driven by agents that integrates Fuzzy Logic (FL) and Multicriteria/multi-objective decision making (MC/MODM) methods to highlight the assessment process of the triple bottom line performance from a small scale ( SMEs) to a large scale supply chain under uncertainty. (C) 2019 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0) Peer-review under responsibility of the scientific committee of the CENTERIS -International Conference on ENTERprise Information Systems / ProjMAN - International Conference on Project MANagement / HCist - International Conference on Health and Social Care Information Systems and Technologies.;Univ Tunis, Higher Inst Management Tunis, SMART Lab, Bardo 2000, Tunisia;Universite de Tunis;1877-0509;2019;WOS:000570337000033;['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  22'];;164;10.1016/j.procs.2019.12.179;;;245;250;;;-1;Fuzzy Multi-Agent approach for monitoring SMEs sustainable SC under uncertainty;"10.1016/j.procs.2019.12.179
";"Monitoring; Sustainable Supply Chain (SSC); Fuzzy Logic (FL); Multi-Agent System (MAS); MC/MODM methods; uncertainty; GREEN SUPPLY CHAIN"
108;108;JOUR;A network of circular economy villages: design guidelines for 21st century Garden Cities;BUILT ENVIRONMENT PROJECT AND ASSET MANAGEMENT;English;['Town planning', 'Circular economy', 'Energy transition', 'Regenerative agriculture', 'Life cycle planning'];Purpose The purpose is to open the possibility for a research institute, perhaps in partnership with a local council and a major developer, to bring together skills necessary to prototype the CEV development model. Design/methodology/approach This paper advances the development of a hypothetical, systems-based approach to the design and development of smart rural villages - a network of circular economy villages (CEVs). The method is to assimilate visionary ideas from 20th century town planning literature related to decentralisation and the development of new towns in rural areas, identifying key design principles. The present trajectory of infrastructure design and emerging development models are then analysed to modernise the design principles for implementation in the 21st century. Findings The availability of localised, renewable energy micro-grids potentially makes CEVs feasible and affordable. The shift to remote work and movement of people to regional areas suggests that this may be a desirable development form. This can only be confirmed through the development of a pilot project as proof of concept. Originality/value The proposed CEV development model applies circular economy strategies to every aspect of the smart rural village development including financing, ownership, spatial planning, design and material selection.;Univ Sydney, Sydney, NSW, Australia;University of Sydney;2044-124X;2022;WOS:000679409800001;['Times Cited in Web of Science Core Collection:  8', 'Total Times Cited:  10', 'Cited Reference Count:  31'];MAY 11;12;10.1108/BEPAM-01-2021-0004;;3;349;364;JUL 2021;;-1;A network of circular economy villages: design guidelines for 21st century Garden Cities;"10.1108/BEPAM-01-2021-0004
";"Town planning; Circular economy; Energy transition; Regenerative agriculture; Life cycle planning"
115;115;JOUR;Inland waterway efficiency through skipper collaboration and joint speed optimization;EUROPEAN JOURNAL OF OPERATIONAL RESEARCH;English;['Scheduling', 'Congestion', 'Social welfare', 'Mechanism design', 'Online scheduling'];We address the problem of minimizing the aggregated fuel consumption by the vessels in an inland waterway, e.g., a river, with a single lock. The fuel consumption of a vessel depends on its velocity and the slower it moves, the less fuel it consumes. Given entry times of the vessels into the waterway and the deadlines before which they need to leave the waterway, we start from the optimal velocities of the vessels that minimize their private fuel consumption, where we assume selfish behavior of the skippers. Presence of the lock and possible congestion on the waterway make the problem computationally challenging. First, we prove that in general, a Nash equilibrium might not exist, i.e., if there is no supervision on the vessels' velocities, there might not exist a strategy profile from which no vessel can unilaterally deviate to decrease its private fuel consumption. Next, we introduce simple supervision methods to guarantee the existence of a Nash equilibrium. Unfortunately, though a Nash equilibrium can be computed, the aggregated fuel consumption of such a stable solution can be high compared to the social optimum, where the total fuel consumption is minimized. Therefore, we propose a mechanism involving payments between vessels, guaranteeing a Nash equilibrium while minimizing the fuel consumption. This mechanism is studied for both the offline setting, where all information is known beforehand, and online setting, where we only know the entry time and deadline of a vessel when it enters the waterway. (C) 2020 Elsevier B.V. All rights reserved.;Maastricht Univ, Sch Business & Econ, POB 616, NL-6200 MD Maastricht, Netherlands;Maastricht University;0377-2217;2021;WOS:000620196400018;['Times Cited in Web of Science Core Collection:  5', 'Total Times Cited:  6', 'Cited Reference Count:  19'];JUL 1;292;10.1016/j.ejor.2020.10.017;;1;276;285;;;-1;Inland waterway efficiency through skipper collaboration and joint speed optimization;"10.1016/j.ejor.2020.10.017
";"Scheduling; Congestion; Social welfare; Mechanism design; Online scheduling"
135;135;JOUR;Multi-objective fuzzy robust optimization approach to sustainable closed-loop supply chain network design;COMPUTERS & INDUSTRIAL ENGINEERING;English;['Sustainable development', 'Closed-loop supply chain network', 'Fuzzy robust optimization', 'Water tank', 'Goal programming', 'GREEN', 'UNCERTAINTY', 'ALGORITHM', 'MODEL'];Nowadays, the importance of sustainable development has persuaded the supply chain managers to shift their network to sustainable supply. This research develops a multi-objective mathematical model to configure a Sustainable Closed-Loop Supply Chain (SCLSC) network for a water tank considering sustainability measures. The goals of the proposed model are optimizing financial, environmental and social impacts of the SCLSC. Generally, the uncertainty exists in configuring the SCLSC network problem according to the changes in the business environment (like transportation costs and demand). As a result, a Fuzzy Robust Optimization (FRO) is applied to cope with uncertainty in this study. Then, the proposed model is solved using the goal programming approach. The numerical results showed some insightful observations regarding planning and strategic decisions for the SCLSC network design. Finally, several sensitivity analyses are carried out on some important parameters, the changes in objective functions are investigated and the robustness of the proposed model is examined.;Babol Noshirvani Univ Technol, Dept Ind Engn, Babol, Iran;Babol Noshirvani University of Technology;0360-8352;2020;WOS:000574658100041;['Times Cited in Web of Science Core Collection:  139', 'Total Times Cited:  145', 'Cited Reference Count:  31'];OCT;148;10.1016/j.cie.2020.106716;106716;;;;;;-1;Multi-objective fuzzy robust optimization approach to sustainable closed-loop supply chain network design;"10.1016/j.cie.2020.106716
";"Sustainable development; Closed-loop supply chain network; Fuzzy robust optimization; Water tank; Goal programming; GREEN; UNCERTAINTY; ALGORITHM; MODEL"
143;143;JOUR;Assessment tool addresses implementation challenges of ecosystem-based management principles in marine spatial planning processes;COMMUNICATIONS EARTH & ENVIRONMENT;English;;Ecosystem-based marine spatial planning is an approach to managing maritime activities while ensuring human well-being and biodiversity conservation as key pillars for sustainable development. Here, we use a comprehensive literature review and a co-development process with experts to build an assessment framework and tool that integrates the fundamental principles of an ecosystem approach to management and translates them into specific actions to be undertaken during planning processes. We illustrate the potential of this tool through the evaluation of two national marine spatial plans (Spain and France), in consultation with the representatives involved in their development and implementation. To ensure more coherent future planning, socio-ecological system evolution in a climate change scenario and the future marine space needs of maritime sectors should be considered, as well as improving the governance structure and knowledge of ecosystem processes. This framework provides a consistent and transparent assessment method for practitioners and competent authorities.;AZTI, Marine Res, Basque Res & Technol Alliance BRTA, Pasaia, Spain;AZTI;2662-4435;2025;WOS:001409609800007;['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  90'];JAN 28;6;10.1038/s43247-024-01975-7;55;1;;;;;-1;Assessment tool addresses implementation challenges of ecosystem-based management principles in marine spatial planning processes;"10.1038/s43247-024-01975-7
";
144;144;JOUR;Mapping Dynamic Urban Land Use Patterns with Crowdsourced Geo-Tagged Social Media (Sina-Weibo) and Commercial Points of Interest Collections in Beijing, China;SUSTAINABILITY;English;['social media', 'Sina-Weibo', 'urban land use', 'POI', 'text analysis'];In fast-growing cities, especially large cities in developing countries, land use types are changing rapidly, and different types of land use are mixed together. It is difficult to assess the land use types in these fast-growing cities in a timely and accurate way. To address this problem, this paper presents a multi-source data mining approach to study dynamic urban land use patterns. Spatiotemporal social media data reveal human activity patterns in different areas, social media text data reflects the topics discussed in different areas, and Points of Interest (POI) reflect the distribution of urban facilities in different regions. Human activity patterns, topics of discussion on social media, and the distribution of urban facilities in different regions were combined and analyzed to infer urban land use patterns. We collected 9.5 million geo-tagged Chinese social media (Sina-Weibo) messages from January 2014 to July 2014 in the urban core areas of Beijing and compared them with 385,792 commercial Points of Interest (POI) from Datatang (a Chinese digital data content provider). To estimate urban land use types and patterns in Beijing, a regular grid of 400 m x 400 m was created to divide the urban core areas into 18,492 cells. By analyzing the temporal frequency trends of social media messages within each cell using K-means clustering algorithm, we identified seven types of land use clusters in Beijing: residential areas, university dormitories, commercial areas, work areas, transportation hubs, and two types of mixed land use areas. Text mining, word clouds, and the distribution analysis of POI were used to verify the estimated land use types successfully. This study can help urban planners create up-to-date land use patterns in an economic way and help us better understand dynamic human activity patterns in a city.;Wuhan Univ, State Key Lab Informat Engn Surveying Mapping & R, Wuhan 430079, Peoples R China;Wuhan University;2071-1050;2016;WOS:000389316200120;['Times Cited in Web of Science Core Collection:  42', 'Total Times Cited:  47', 'Cited Reference Count:  39'];NOV;8;10.3390/su8111202;1202;11;;;;;-1;Mapping Dynamic Urban Land Use Patterns with Crowdsourced Geo-Tagged Social Media (Sina-Weibo) and Commercial Points of Interest Collections in Beijing, China;"10.3390/su8111202
";"social media; Sina-Weibo; urban land use; POI; text analysis"
159;159;CPAPER;Development of an Assessment Model for Industry 4.0: Industry 4.0-MM;SOFTWARE PROCESS IMPROVEMENT AND CAPABILITY DETERMINATION, SPICE 2017;English;['Industry 4.0', 'Industrial Internet of Things', 'Maturity Model', 'Assessment model'];The application of new technologies in the manufacturing environment is ushering a new era referred to as the 4th industrial revolution, and this digital transformation appeals to companies due to various competitive advantages it provides. Accordingly, there is a fundamental need for assisting companies in the transition to Industry 4.0 technologies/practices, and guiding them for improving their capabilities in a standardized, objective, and repeatable way. Maturity Models (MMs) aim to assist organizations by providing comprehensive guidance. Therefore, the literature is reviewed systematically with the aim of identifying existing studies related to MMs proposed in the context of Industry 4.0. Seven identified MMs are analyzed by comparing their characteristics of scope, purpose, completeness, clearness, and objectivity. It is concluded that none of them satisfies all expected criteria. In order to satisfy the need for a structured Industry 4.0 assessment/maturity model, SPICE-based Industry 4.0-MM is proposed in this study. Industry 4.0-MM has a holistic approach consisting of the assessment of process transformation, application management, data governance, asset management, and organizational alignment areas. The aim is to create a common base for performing an assessment of the establishment of Industry 4.0 technologies, and to guide companies towards achieving a higher maturity stage in order to maximize the economic benefits of Industry 4.0. Hence, Industry 4.0-MM provides standardization in continuous benchmarking and improvement of businesses in the manufacturing industry.;Middle East Tech Univ, Inst Informat, Ankara, Turkey;Middle East Technical University;1865-0929;2017;WOS:000435007700010;['Times Cited in Web of Science Core Collection:  168', 'Total Times Cited:  176', 'Cited Reference Count:  36'];;770;10.1007/978-3-319-67383-7_10;;;128;142;;;-1;Development of an Assessment Model for Industry 4.0: Industry 4.0-MM;"10.1007/978-3-319-67383-7_10
";"Industry 4.0; Industrial Internet of Things; Maturity Model; Assessment model"
170;170;JOUR;Contextual relationships in Juran's quality principles for business sustainable growth undercircular economy perspective: a decision support system approach;ANNALS OF OPERATIONS RESEARCH;English;['MCDM', 'Contextual relationships', 'Total quality management (TQM)', 'Decision support system', 'Group decision making', 'Machine learning', 'Circular economy', 'Sustainable growth', 'SUPPLY CHAIN', 'REVERSE LOGISTICS', 'INTEGRATED ISM', 'MANAGEMENT', 'BARRIERS', 'TQM', 'PERFORMANCE', 'SELECTION', 'CRITERIA', 'MODEL'];"Circular economy and sustainable growth are closely linked as they both aim to reconcile economic development with environmental considerations. The circular economy provides a framework and set of principles for achieving sustainable growth. By adopting circular practices, such as resource efficiency, recycling, and product life extension, economic activities can become more sustainable and contribute to long-term growth. In today's world, consumers have high expectations for companies to be accountable for the environmental and social impact of their products and services. The implementation of Total Quality Management (TQM) in manufacturing can contribute to sustainable growth by enhancing quality, reducing waste, and increasing efficiency. This study proposes a novel methodological framework to establish a comprehensive association between Juran's ten quality principles using a mixed-method sequential approach with an integrated Machine Learning Group Decision-Making (MLGDM) and Interpretive Structural Modeling (ISM)-DEMATEL approach. The framework involves using the MLGDM approach to select the optimal number of experts to develop contextual relationships among the principles. This framework is designed to address the challenge of determining the appropriate number of experts to involve in the decision-making process. Involving too few experts can limit the generalizability of the results, while having too many experts can lead to a high degree of inconsistency and make it challenging to reach a consensus. The MLGDM portion of our framework provides a systematic approach to overcome this challenge and helps supply chain managers and academicians implement quality practices in their organizations. Moreover, although several studies have explored the implementation of TQM practices, there is still a lack of a systematic framework that can fully incorporate Juran's quality principles. To fill this gap, the ISM-DEMATEL approach was then used to explore the causal relationships between these principles. Practitioners from the industry were asked to identify contextual associations among variables, which facilitated a better understanding of these principles. Our results suggest that ""Build awareness,"" ""Set goals for improvement,"" and ""Provide training"" are strategic requirements for successful TQM implementation, while ""Carry out projects to solve problems,"" ""Organize to reach the goals,"" and ""Keep score"" are tactical requirements. Furthermore, ""Communicate results,"" ""Report progress,"" ""Give recognition,"" and ""Maintain momentum"" are operational necessities for TQM implementation. The present study represents a significant step forward in giving a new direction to Juran's ten quality principles and providing a holistic picture to decision-makers.";ICFAI Business Sch IBS, Ahmadabad 382421, Gujarat, India;University of Colorado System;0254-5330;2024;WOS:001126459700001;['Times Cited in Web of Science Core Collection:  3', 'Total Times Cited:  3', 'Cited Reference Count:  104'];NOV;342;10.1007/s10479-023-05737-0;;1;47;77;DEC 2023;;-1;Contextual relationships in Juran's quality principles for business sustainable growth undercircular economy perspective: a decision support system approach;"10.1007/s10479-023-05737-0
";"MCDM; Contextual relationships; Total quality management (TQM); Decision support system; Group decision making; Machine learning; Circular economy; Sustainable growth; SUPPLY CHAIN; REVERSE LOGISTICS; INTEGRATED ISM; MANAGEMENT; BARRIERS; TQM; PERFORMANCE; SELECTION; CRITERIA; MODEL"
192;192;CPAPER;A Multi-objective Multi-Supplier Sustainable Supply Chain with Deteriorating Products, Case of Cut Flowers;IFAC PAPERSONLINE;English;['Supply Chain Management', 'Deteriorating', 'Cut flowers', 'Multi-objective', 'Sustainability', 'INVENTORY'];There is a growing concern, in the last decade, about the environment and social footprint of business operations. The subject of supply chain sustainability, simultaneously considering economic, environment and/or social values, has gained attention in the academia and from the industry. Particularly for deteriorating and seasonal products, such as fresh produce, the issues of timely supply and disposal of the deteriorated products are of high concerns. This research develops a new replenishment policy in a centralized sustainable supply chain for the deteriorating items. The model considers inventory and transportation costs, as well as the environmental and social impacts, with several transportation vehicles producing various pollution and greenhouse gas levels. Some variables are uncertain as the end-customer demand, partial backordered ratio and deterioration rate. We also consider backorders, quantity discount prices, non-linear holding costs, multiple transportation-route options, and uncertain demand. We consider the deterioration of in-stock inventory. and the deterioration during transportation. The best transportation routes and vehicles, and inventory policy are determined by finding a balance between financial, environmental and social criteria. We develop a linear multi-objective mathematical model and present a numerical example to demonstrate its applicability and effectiveness. (C) 2016, IFAC (International Federation of Automatic Control) Hosting by Elsevier Ltd. All rights reserved.;Univ Tehran, Dept Pf Ind Engn, Tehran, Iran;University of Tehran;2405-8963;2016;WOS:000383468400280;['Times Cited in Web of Science Core Collection:  8', 'Total Times Cited:  8', 'Cited Reference Count:  15'];;49;10.1016/j.ifacol.2016.07.815;;12;1638;1643;;;-1;A Multi-objective Multi-Supplier Sustainable Supply Chain with Deteriorating Products, Case of Cut Flowers;"10.1016/j.ifacol.2016.07.815
";"Supply Chain Management; Deteriorating; Cut flowers; Multi-objective; Sustainability; INVENTORY"
196;196;CPAPER;Public-Private Partnership and the Development of Transport Infrastructure in Poland: The Analysis of Critical Success Factors;TRANSPORT DEVELOPMENT CHALLENGES IN THE TWENTY-FIRST CENTURY;English;['PPP', 'Critical success factors', 'Transport', 'PPP in Poland'];Efficient transport is an important determinant of the integration of the EU countries. TEN-T has been created by the European Commission to ensure the mobility of citizens, as well as fast and safe trading. However, the European transport infrastructure is characterized by large variations on the level of development that occurs in the East and West of the EU. In Poland, the infrastructure is technically unadjusted to the current transport needs and preferences. Modernization and development of infrastructure requires large capital expenditures. At the same time the public finance sector is overloaded, and the budget deficit is common. European countries and governments around the world are more likely to engage the private sector to finance infrastructure. The usual form of involvement of private investors is the public-private partnership (PPP). However, not all projects are successful. Achieving tangible benefits of PPP requires the creation of appropriate conditions conducive to its implementation. The aim of this study is to identify and analyze critical success factors for PPP transport infrastructure projects in Poland. The research literature proves that there are many factors and they relate to various aspects and stages of the PPP implementation. The factors are classified in four groups: financial and economic, political and legal, technical, and social. The ones that have significant impact on transport infrastructure include: stable macroeconomic situation of the country, political support and commitment of the government, legal system, well-organized public consulting agencies, financial market availability, credible and experienced private investors. In Poland, the most important factors that are necessary for success in the implementation of PPP projects are: support of the government and governmental institutions, legal framework and regulations and the existence of adequate public advisory bodies. For the past 20 years, these conditions have not been fully met and formed a barrier to the development of the partnership. The consequence of the lack of public advisory body is limited knowledge on PPP in public administration as well as in banks, which in the case of the latter, limits the availability of the financial market for private partners.;Kazimierz Pulaski Univ Technol & Humanities Radom, Fac Transport & Elect Engn, PL-26600 Radom, Poland;Kazimierz Pulaski University of Technology & Humanities in Radom;2198-7246;2016;WOS:000386325500012;['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  29'];;;10.1007/978-3-319-26848-4_12;;;125;138;;;-1;Public-Private Partnership and the Development of Transport Infrastructure in Poland: The Analysis of Critical Success Factors;"10.1007/978-3-319-26848-4_12
";"PPP; Critical success factors; Transport; PPP in Poland"
207;207;JOUR;Digital Twin and Reinforcement Learning-Based Resilient Production Control for Micro Smart Factory;APPLIED SCIENCES-BASEL;English;['digital twin', 'production control', 'micro smart factory', 'modular manufacturing system', 'resilience', 'reinforcement learning', 'SYSTEM'];"To achieve efficient personalized production at an affordable cost, a modular manufacturing system (MMS) can be utilized. MMS enables restructuring of its configuration to accommodate product changes and is thus an efficient solution to reduce the costs involved in personalized production. A micro smart factory (MSF) is an MMS with heterogeneous production processes to enable personalized production. Similar to MMS, MSF also enables the restructuring of production configuration; additionally, it comprises cyber-physical production systems (CPPSs) that help achieve resilience. However, MSFs need to overcome performance hurdles with respect to production control. Therefore, this paper proposes a digital twin (DT) and reinforcement learning (RL)-based production control method. This method replaces the existing dispatching rule in the type and instance phases of the MSF. In this method, the RL policy network is learned and evaluated by coordination between DT and RL. The DT provides virtual event logs that include states, actions, and rewards to support learning. These virtual event logs are returned based on vertical integration with the MSF. As a result, the proposed method provides a resilient solution to the CPPS architectural framework and achieves appropriate actions to the dynamic situation of MSF. Additionally, applying DT with RL helps decide what-next/where-next in the production cycle. Moreover, the proposed concept can be extended to various manufacturing domains because the priority rule concept is frequently applied.";Sungkyunkwan Univ, Dept Ind Engn, Suwon 16419, South Korea;Sungkyunkwan University (SKKU);2076-3417;2021;WOS:000638329400001;['Times Cited in Web of Science Core Collection:  32', 'Total Times Cited:  33', 'Cited Reference Count:  55'];APR;11;10.3390/app11072977;2977;7;;;;;-1;Digital Twin and Reinforcement Learning-Based Resilient Production Control for Micro Smart Factory;"10.3390/app11072977
";"digital twin; production control; micro smart factory; modular manufacturing system; resilience; reinforcement learning; SYSTEM"
209;209;JOUR;Evaluation of Third Party Logistics Providers Considering Social Sustainability;SUSTAINABILITY;English;['third-party logistics service', 'social sustainability', 'fuzzy analytic hierarchy process', 'ANALYTIC HIERARCHY PROCESS', 'SUPPLY CHAIN NETWORK', 'REVERSE LOGISTICS', 'STRATEGIC APPROACH', 'SERVICE PROVIDER', 'FUZZY AHP', 'SELECTION', 'PERFORMANCE', 'DECISION', 'MODEL'];In this paper, we investigated a third-party logistics (3PL) provider evaluation problem considering social sustainability as one of the important evaluation criteria. Since the 3PL service is mainly dependent on both transport vehicles and employees, managing them from the viewpoint of social sustainability has become a critical issue. Thus, 3PL providers need to be concerned about not only the service price or quality but also issues related to social sustainability. In line with this trend, we defined the social sustainability of 3PL providers and related evaluation criteria. In addition, a fuzzy analytic hierarchy process (AHP) was used as a main evaluation framework to help decision-makers determine the relative importance of each criteria or alternative using linguistic terms. To show the feasibility of the proposed criteria and evaluation framework, we presented the illustrative example based on a real-world case. The results showed that the proposed approach could be a good alternative to conduct evaluations, and the related sensitivity analysis, considering social sustainability.;Inha Univ, Asia Pacific Sch Logist, 100 Inha Ro, Incheon 402751, South Korea;Inha University;2071-1050;2017;WOS:000404127800102;['Times Cited in Web of Science Core Collection:  34', 'Total Times Cited:  36', 'Cited Reference Count:  108'];MAY;9;10.3390/su9050777;777;5;;;;;-1;Evaluation of Third Party Logistics Providers Considering Social Sustainability;"10.3390/su9050777
";"third-party logistics service; social sustainability; fuzzy analytic hierarchy process; ANALYTIC HIERARCHY PROCESS; SUPPLY CHAIN NETWORK; REVERSE LOGISTICS; STRATEGIC APPROACH; SERVICE PROVIDER; FUZZY AHP; SELECTION; PERFORMANCE; DECISION; MODEL"
237;237;JOUR;Transportation of electric vehicle lithium-ion batteries at end-of-life: A literature review;RESOURCES CONSERVATION AND RECYCLING;English;['Electric vehicles', 'Recycling', 'Battery', 'Circular economy', 'Transportation', 'Battery safety', 'Reverse logistics', 'SUPPLY CHAIN', 'FEASIBILITY'];"The market for electric vehicles (EVs) has grown exponentially over the past decade, largely driven by ambitious sales targets in regions around the world. At end-of-life (EoL), these batteries must be managed properly to maximize reuse and recycling, which requires an efficient and safe collection and transportation system; however, the logistics of transporting EoL batteries are rarely examined in depth in scholarly research. In this paper, we conduct a critical review of the peer-reviewed literature on EV traction battery reuse and recycling to assess how transportation is represented. We find that among 60 studies identified, 70% mentioned collection and transportation as a challenge to battery reuse or recycling, and 63% identified a need for policy or further research related to collection and transportation. Among 17 papers that focus on cost, estimates for transportation costs vary widely among studies, from more than five dollars per kg to less than 30 cents, representing, on average, 41% of the total cost of recycling. Studies that examined the environmental impact of EoL transportation suggest it contributes 1-3.5% of life cycle GHG emissions for a recycled battery. In response to the limited and highly variable treatment of battery EoL transportation, the literature review is followed by contextual information about the United States, including the regulatory framework and existing network for EoL batteries. Recommendations for future study include place-specific research on optimal facility siting that considers both existing and projected infrastructure, and which reflects costs and environmental and social impacts at local scales.";Univ Calif Davis, Energy Syst Energy & Efficiency Inst, 1605 Tilia St 100, Davis, CA 95616 USA;University of California System;0921-3449;2021;WOS:000672683700015;['Times Cited in Web of Science Core Collection:  86', 'Total Times Cited:  93', 'Cited Reference Count:  73'];NOV;174;10.1016/j.resconrec.2021.105755;105755;;;;JUL 2021;;-1;Transportation of electric vehicle lithium-ion batteries at end-of-life: A literature review;"10.1016/j.resconrec.2021.105755
";"Electric vehicles; Recycling; Battery; Circular economy; Transportation; Battery safety; Reverse logistics; SUPPLY CHAIN; FEASIBILITY"
240;240;JOUR;Product green degree, service free-riding, strategic price difference in a dual-channel supply chain based on dynamic game;OPTIMIZATION;English;['Green degree', 'dual-channel', 'service free-riding', 'price difference', 'dynamic game', 'COORDINATION', 'POLICIES', 'INTERNET'];In this paper, we study a green product dual-channel supply chain with a manufacturer and a retailer. The service free-riding is considered, and the channel price difference is also introduced as a strategic tool to adjust the channel conflict. In centralized and decentralized models, we give the optimal decisions of the supply chain members and analyse the effects of the service free-riding and the price difference on the related decisions. In order to coordinate the dual-channel green supply chain, we also design a two-part tariff contract coordination model, which allows both the manufacturer and the retailer to obtain a win-win result. From the analytical and numerical results, we find that the proper service free-riding degree and price difference are beneficial to the decision makers and the greening of supply chain. And in the centralized model, when the degree of service free-riding is small, the increase of the channel price difference can stimulate the manufacturer to provide the lower price product with lower service and green degree, otherwise, it is the opposite. Besides, the result also shows that, except for consumers, the centralized model always performs better than the decentralized model in the profit and social welfare aspects.;Tianjin Univ, Sch Math, Tianjin, Peoples R China;Tianjin University;0233-1934;2022;WOS:000565380500001;['Times Cited in Web of Science Core Collection:  24', 'Total Times Cited:  25', 'Cited Reference Count:  42'];MAR 4;71;10.1080/02331934.2020.1812064;;3;633;674;AUG 2020;;-1;Product green degree, service free-riding, strategic price difference in a dual-channel supply chain based on dynamic game;"10.1080/02331934.2020.1812064
";"Green degree; dual-channel; service free-riding; price difference; dynamic game; COORDINATION; POLICIES; INTERNET"
