Sector,Theme,Keywords, OpenAlex_Article_Count,to_suppress
Digitalisation,Material Footprint and E-Waste,resource extraction,"  32 945,00 ",
Trade,trade,import substitution,"  32 743,00 ",
Trade,Policy & Governance,Government Accountability,"  32 687,00 ",
Sufficiency ,Political Make-up & Governance,councillor,"  32 512,00 ",
Trade,Policy & Governance,National Sovereignty,"  32 227,00 ",
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Explainable AI,"  32 159,00 ",
Trade,Power Dynamics and Trade,Economic Disparities,"  32 117,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Urban sustainability,"  32 090,00 ",
Mobility,Urban environment,urban sustainability,"  32 090,00 ",y
Food,Soil health and soil management,green manure,"  31 940,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Evidence-Based Policy,"  31 898,00 ",
Sufficiency ,Lifestyle,community resilience,"  31 877,00 ",
Sufficiency ,Environmental impact (general),sustainable building,"  31 839,00 ",
Trade,Power Dynamics and Trade,Sovereign Debt,"  31 613,00 ",
Mobility,Transport mode,rapid transit,"  31 596,00 ",
Sufficiency ,Financing Mechanisms and Economic Systems,carbon tax,"  31 550,00 ",
Sufficiency ,Lifestyle,housing project,"  31 413,00 ",
Food,Nutrient principles,micronutrient deficiencies,"  31 412,00 ",
Logistic,Transport measures,real-time track,"  31 392,00 ",
Sufficiency ,Driver of consumption,reuse and recycling,"  31 219,00 ",
Trade,Power Dynamics and Trade,Extraterritoriality,"  31 149,00 ",
Mobility,Mobility access,health care access,"  31 094,00 ",
Trade,Consumer / Cultural Issues (demand-side),Cultural Shifts,"  31 075,00 ",
Logistic,Transport measures,last mile,"  30 700,00 ",
Sufficiency ,Social and Economic Sustainability Goals,decent work,"  30 644,00 ",
Digitalisation,Energy consumption limits,energy optimization,"  30 555,00 ",
Sufficiency ,Economic impact (general),urban agriculture,"  30 515,00 ",
Sufficiency ,Financing Mechanisms and Economic Systems,local currency,"  30 437,00 ",
Sufficiency ,Resource conservation,sustainable construction,"  30 071,00 ",
Trade,Environmental and Resource Use,Ecological Sustainability,"  29 877,00 ",
Trade,Environmental and Resource Use,Conservation Policies,"  29 672,00 ",
Trade,Impacts,Market reactions,"  29 546,00 ",
Trade,Environmental and Resource Use,Carbon Reduction,"  29 227,00 ",
Mobility,Lifestyle and behaviour,travel behavior,"  28 941,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Bilateral Agreement,"  28 926,00 ",y
Trade,Power Dynamics and Trade,Bilateral Agreements,"  28 926,00 ",
Sufficiency ,Needs,basic need,"  28 898,00 ",
Sufficiency ,Policies,international food policy,"  28 824,00 ",
Food,Practices,food policy research,"  28 761,00 ",
Urban settlements ,Urban green spaces,urban green space,"  28 243,00 ",
Sufficiency ,Planetary boundaries,anthropogenic pressure,"  28 225,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Occupancy rate,"  28 083,00 ",
Sufficiency ,Energy policies,energy services,"  28 038,00 ",
Trade,Environmental and Resource Use,Resource Scarcity,"  27 898,00 ",
Food,General resilient and sustainable agricultural principles,sustainable cropping,"  27 892,00 ",
Urban settlements ,Urban green spaces,urban forest,"  27 891,00 ",
Sufficiency ,Accessibility,Gini index,"  27 856,00 ",
Sufficiency ,Desired features/ characteristics,agroecology,"  27 752,00 ",
Mobility,Private vehicle,private car,"  27 587,00 ",
Sufficiency ,Sustainability,sustainable supply chains,"  27 404,00 ",y
Trade,Environmental and Resource Use,Sustainable Supply Chains,"  27 404,00 ",y
Logistic,Logistic,sustainable supply chain,"  27 404,00 ",
Sufficiency ,Environmental impact (general),sustainable urban development,"  27 242,00 ",y
Urban settlements ,Urban form and morphology,Sustainable urban development,"  27 242,00 ",
Sufficiency ,Mitigation,climate mitigation,"  27 016,00 ",
Sufficiency ,Well-being,subjective wellbeing,"  26 945,00 ",
Mobility,Transport mode,active mode,"  26 929,00 ",
Logistic,Logistic,autonomous navigation,"  26 852,00 ",
Trade,Trade and Sufficiency,Sustainable Sourcing,"  26 829,00 ",
Sufficiency ,General advantages/benefits,increased resilience,"  26 656,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Development Aid,"  26 576,00 ",
Food,Nutrition,public health nutrition,"  26 467,00 ",
Digitalisation,Infrastructure,telecommunication network,"  26 387,00 ",
Mobility,Metrics,origin destination,"  26 376,00 ",
Digitalisation,Material Footprint and E-Waste,e-waste,"  26 183,00 ",
Sufficiency ,Financing Mechanisms and Economic Systems,carbon price,"  26 109,00 ",
Sufficiency ,General,sustainable food systems,"  26 059,00 ",
Mobility,Mobility justice,limited mobility,"  25 869,00 ",
Food,Practices,food labeling,"  25 861,00 ",
Sufficiency ,Political Make-up & Governance,policy influence,"  25 831,00 ",
Sufficiency ,Driver of consumption,demand-side management,"  25 769,00 ",
Sufficiency ,Social and Economic Sustainability Goals,strong community,"  25 456,00 ",
Trade,Equitable Resource Distribution,fair distribution,"  25 423,00 ",
Mobility,"Infrastructure, planning, policy",transport planning,"  25 273,00 ",
Trade,Environmental and Resource Use,Green Supply Chains,"  25 245,00 ",y
Logistic,Logistic,green supply chain,"  25 245,00 ",
Trade,Consumer / Cultural Issues (demand-side),Cultural Attitudes,"  25 186,00 ",
Sufficiency ,Lifestyle,social support network,"  24 997,00 ",
Trade,Global Competitiveness,economic competitiveness,"  24 883,00 ",
Housing,Using Buildings,living area,"  24 768,00 ",
Digitalisation,Infrastructure,electrical grids,"  24 739,00 ",
Sufficiency ,Resilience,climate resilience,"  24 738,00 ",
Sufficiency ,Well-being,health effect,"  24 640,00 ",
Sufficiency ,Food/Food system,food distribution,"  24 450,00 ",
Sufficiency ,Driver of consumption,overconsumption,"  24 383,00 ",
Sufficiency ,Needs,need for community,"  24 239,00 ",
Mobility,Transport mode,passenger transport,"  24 196,00 ",
Trade,Power Dynamics and Trade,Trade Deficits,"  24 184,00 ",
Sufficiency ,Well-being,co-benefit,"  24 087,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Humanitarian Assistance,"  23 913,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Urban governance,"  23 663,00 ",
Mobility,Urban environment,dense urban,"  23 591,00 ",
Digitalisation,Internet/Internet of Things,smart manufacturing,"  23 265,00 ",
Food,Food/ Food system,food access,"  23 154,00 ",
Sufficiency ,Resource conservation,material consumption,"  23 015,00 ",
Housing,Buildings and their Attributes,residential sector,"  22 523,00 ",
Sufficiency ,Well-being,social wellbeing,"  22 460,00 ",
Digitalisation,Energy consumption limits,cloud technology,"  22 428,00 ",y
Digitalisation,Material Footprint and E-Waste,cloud technology,"  22 428,00 ",
Sufficiency ,Lifestyle,social patterns,"  22 425,00 ",
Sufficiency ,Well-being,human wellbeing,"  22 334,00 ",
Sufficiency ,Financing Mechanisms and Economic Systems,finance mechanism,"  22 329,00 ",
Urban settlements ,Urban waste management infrastructure,zero waste,"  22 154,00 ",y
Trade,Consumer Goods,Zero-waste,"  22 154,00 ",
Trade,Policy & Governance,Policy Innovation,"  22 084,00 ",
Sufficiency ,Political Make-up & Governance,policy coordination,"  22 049,00 ",y
Sufficiency ,Technology and Data in Urban Development,policy coordination,"  22 049,00 ",
Trade,Policy & Governance,Policy Coordination,"  22 049,00 ",y
Urban settlements ,Urban green spaces,green roof,"  22 044,00 ",
Trade,Housing,Green Roofs,"  22 044,00 ",y
Sufficiency ,Well-being,healthy lives,"  21 999,00 ",
Food,Diet,dietary diversity,"  21 962,00 ",
Logistic,Logistic,piggyback,"  21 795,00 ",
Sufficiency ,Environmental impact (general),clean environment,"  21 762,00 ",
Digitalisation,Material Footprint and E-Waste,ICT infrastructure,"  21 621,00 ",
Urban settlements ,Ecosystem-based adaptations/NBS,nature-based solution,"  21 610,00 ",
Trade,Housing,Nature-based solutions,"  21 610,00 ",y
Food,General resilient and sustainable agricultural principles,conservation agriculture,"  21 584,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Sustainable transportation,"  21 552,00 ",
Mobility,Lifestyle and behaviour,transport behavior,"  21 537,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Organisation for Economic Cooperation and Development,"  21 519,00 ",
Logistic,Transport infrastructure,sustainable transport,"  21 501,00 ",
Trade,Consumer / Cultural Issues (demand-side),Sustainability Education,"  21 345,00 ",
Sufficiency ,Financing Mechanisms and Economic Systems,sustainable finance,"  21 143,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Greenbelts,"  20 918,00 ",
Trade,Industrial Policy,strategic investments,"  20 888,00 ",
Sufficiency ,Political Make-up & Governance,voter turnout,"  20 759,00 ",
Logistic,Logistic,optimization and Machine Learning,"  20 576,00 ",
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",participatory democracy,"  20 477,00 ",
Logistic,Logistic,reverse logistics,"  20 411,00 ",
Urban settlements ,Urban blue spaces,water harvesting,"  20 341,00 ",
Sufficiency ,Environmental impact (general),land conversion,"  20 258,00 ",
Sufficiency ,Drivers of production,home delivery,"  20 223,00 ",
Sufficiency ,Climate,agriculture innovation,"  20 144,00 ",
Sufficiency ,Mitigation,sustainable land use,"  20 036,00 ",
Mobility,Energy/resource/emissions,transport energy,"  20 005,00 ",
Sufficiency ,Political Make-up & Governance,proportional representation,"  19 926,00 ",
Trade,Consumer / Cultural Issues (demand-side),Consumer Rights,"  19 875,00 ",
Trade,Policy & Governance,Public Ownership,"  19 875,00 ",
Mobility,Urbanism,land resource,"  19 834,00 ",
Trade,Global Competitiveness,trade models,"  19 820,00 ",
Sufficiency ,Practice,inclusive practice,"  19 785,00 ",
Digitalisation,Energy consumption limits,energy constraint,"  19 734,00 ",
Sufficiency ,Financing Mechanisms and Economic Systems,resource mobilization,"  19 661,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Resource Mobilization,"  19 661,00 ",
Mobility,Lifestyle and behaviour,travel behaviour,"  19 520,00 ",
Sufficiency ,International initiatives impact on local sufficiency,IFAD,"  19 430,00 ",y
Trade,Power Dynamics and Trade,Investment Flows,"  19 420,00 ",
Sufficiency ,Political Make-up & Governance,citizen engagement,"  19 322,00 ",
Sufficiency ,General advantages/benefits,sustainable agriculture practices,"  19 238,00 ",
Sufficiency ,General advantages/benefits,improved food security,"  19 184,00 ",
Trade,Power Dynamics and Trade,Trade Rules,"  19 065,00 ",
Food,Food,complementary feeding,"  18 882,00 ",
Mobility,Lifestyle and behaviour,sustainable mobility,"  18 797,00 ",
Trade,Consumer / Cultural Issues (demand-side),Greenwashing,"  18 715,00 ",
Trade,Power Dynamics and Trade,Economic Diversification,"  18 655,00 ",
Trade,AI? Digital?,Electronic Waste,"  18 599,00 ",y
Digitalisation,Material Footprint and E-Waste,electronic waste,"  18 599,00 ",
Sufficiency ,Gender,Social inequity,"  18 557,00 ",
Urban settlements ,Urban blue spaces,SuDS,"  18 321,00 ",
Sufficiency ,Mitigation,sustainable land management,"  18 271,00 ",
Food,Diet,vegetarian diet,"  18 182,00 ",
Sufficiency ,Political Make-up & Governance,direct democracy,"  18 080,00 ",
Mobility,Mobility policies,reducing fuel consumption,"  18 073,00 ",
Food,Food,food storage,"  17 950,00 ",
Sufficiency ,Mitigation,agriculture production system,"  17 921,00 ",
Trade,Environmental and Resource Use,Land Grabbing,"  17 888,00 ",
Sufficiency ,economic,economic resilience,"  17 886,00 ",y
Trade,Policy & Governance,Economic Resilience,"  17 886,00 ",
Logistic,Transport measures,long-distance transport,"  17 707,00 ",
Trade,Consumer / Cultural Issues (demand-side),Consumption Reduction,"  17 566,00 ",
Trade,Environmental and Resource Use,Carbon Trading,"  17 551,00 ",
Urban settlements ,Sustainable urban planning,stormwater management,"  17 393,00 ",
Sufficiency ,Social impact (general),plant-based food,"  17 378,00 ",
Urban settlements ,Urban green spaces,community garden,"  17 329,00 ",
Sufficiency ,Planetary boundaries,ecological resilience,"  17 320,00 ",
Trade,Crisis Management,energy shortages,"  17 311,00 ",
Trade,Power Dynamics and Trade,Labor Rights,"  17 197,00 ",
Urban settlements ,Urban waste management infrastructure,construction waste,"  17 150,00 ",
Food,Nutrition principles,sufficient food,"  16 892,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Food and Agriculture Organisation,"  16 888,00 ",
Food,Practices,biofortification,"  16 480,00 ",
Logistic,Logistic policies,European Green Deal,"  16 440,00 ",
Mobility,Transport mode,urban rail,"  16 378,00 ",
Food,Practices,nutrient recycling,"  16 210,00 ",
Trade,Environmental and Resource Use,Eco-innovation,"  16 139,00 ",
Food,General resilient and sustainable agricultural principles,sustainable intensification,"  16 091,00 ",
Food,Biodiversity and pest management,crop diversification,"  16 005,00 ",
Food,Nutrition,nutrition policy,"  15 963,00 ",
Food,Nutrition,nutrition policies,"  15 963,00 ",y
Sufficiency ,Economic barriers/challenges,supply chain disruptions,"  15 927,00 ",
Trade,Trade and Sufficiency,Slow Movement,"  15 858,00 ",
Sufficiency ,Food/Food system,food loss,"  15 815,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Urban morphology,"  15 673,00 ",
Trade,Social & Labor Impacts,employment effects,"  15 619,00 ",
Digitalisation,Energy consumption limits,cooling technology,"  15 599,00 ",
Sufficiency ,Sustainability,sustainable food production,"  15 571,00 ",y
Food,Food/ Food system,sustainable food production,"  15 571,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Urban politics,"  15 544,00 ",y
Urban settlements ,Urban densification and urban sprawl,Urban Politics,"  15 544,00 ",
Sufficiency ,Technology and Data in Urban Development,data visualisation,"  15 497,00 ",y
Sufficiency ,Political Make-up & Governance,unitary state,"  15 470,00 ",
Urban settlements ,Urban form and morphology,City size,"  15 378,00 ",
Sufficiency ,General challenges/barriers,technological limitations,"  15 336,00 ",
Trade,Global Competitiveness,economic stagnation,"  15 228,00 ",
Sufficiency ,Energy policies,energy access,"  15 221,00 ",
Urban settlements ,Biodiversity conservation & habitat protection,habitat management,"  15 170,00 ",
Digitalisation,Blockchain,Distributed Ledger Technology,"  15 154,00 ",
Trade,Power Dynamics and Trade,Multilateral Agreements,"  15 102,00 ",
Trade,Consumer / Cultural Issues (demand-side),Responsible Consumption,"  15 033,00 ",
Food,Interventions,behavior change interventions,"  14 901,00 ",
Food,Production / agriculture,double cropping,"  14 891,00 ",
Mobility,Mobility access,Limited accessibility,"  14 875,00 ",
Logistic,Transport infrastructure,inland waterway,"  14 754,00 ",y
Logistic,Transport infrastructure,inland waterway,"  14 754,00 ",
Trade,Policy & Governance,Social Governance,"  14 730,00 ",
Logistic,Logistic,import tariff,"  14 708,00 ",
Food,Food/ Food system,food sovereignty,"  14 595,00 ",
Sufficiency ,Needs,social need,"  14 563,00 ",
Sufficiency ,Planetary boundaries,planetary health,"  14 521,00 ",
Urban settlements ,Urban blue spaces,water recycling,"  14 395,00 ",
Food,Soil health and soil management,reduced tillage,"  14 388,00 ",
Trade,Environmental and Resource Use,Resource Use Efficiency,"  14 361,00 ",
Urban settlements ,Urban green spaces,green belt,"  14 163,00 ",
Sufficiency ,Justice,climate justice,"  14 116,00 ",
Trade,Power Dynamics and Trade,Trade Facilitation,"  14 115,00 ",
Sufficiency ,Technology and Data in Urban Development,sustainable infrastructure,"  14 104,00 ",
Sufficiency ,Social impact (general),labor practices,"  14 030,00 ",
Sufficiency ,Lifestyle,living condition,"  14 006,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Urban heat island effect,"  14 005,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Participatory Planning,"  13 981,00 ",
Digitalisation,Data storage and data centers,data retention,"  13 917,00 ",
Logistic,Logistic,sustainable supply chain management,"  13 903,00 ",
Trade,Policy & Governance,Trade Regulations,"  13 868,00 ",
Trade,Policy & Governance,Regulatory Barriers,"  13 857,00 ",
Sufficiency ,Climate,climate-smart agriculture,"  13 839,00 ",
Sufficiency ,International initiatives impact on local sufficiency,International Labour Organisation,"  13 837,00 ",
Trade,Competitiveness,Demand reduction,"  13 770,00 ",
Trade,Transportation,Demand Reduction,"  13 770,00 ",y
Digitalisation,Rebound effects,rebound effect,"  13 719,00 ",
Sufficiency ,Poverty,alleviation of poverty,"  13 707,00 ",
Digitalisation,Affordability,Race to the bottom,"  13 696,00 ",
Sufficiency ,Political Make-up & Governance,stakeholder collaboration,"  13 649,00 ",
Sufficiency ,Technology and Data in Urban Development,stakeholder collaboration,"  13 649,00 ",y
Urban settlements ,Urban form and morphology,Urban resilience,"  13 648,00 ",
Trade,Consumer / Cultural Issues (demand-side),Post-consumerism,"  13 646,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Smart growth,"  13 616,00 ",
Sufficiency ,Resource conservation,zero energy building,"  13 537,00 ",
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",lobby group,"  13 534,00 ",
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",lobbying group,"  13 534,00 ",y
Digitalisation,Affordability,Price Regulation,"  13 409,00 ",
Food,Production / agriculture,increase food production,"  13 402,00 ",
Mobility,Metrics,distance travel,"  13 390,00 ",
Sufficiency ,Poverty,energy poverty,"  13 383,00 ",
Mobility,Private vehicle,vehicle weight,"  13 171,00 ",
Digitalisation,Energy consumption limits,electricity usage,"  13 140,00 ",
Sufficiency ,Resource conservation,absolute reduction,"  13 122,00 ",
Sufficiency ,Drivers of production,eco-label,"  13 103,00 ",
Trade,Power Dynamics and Trade,Trade Surplus,"  13 029,00 ",
Sufficiency ,Political Make-up & Governance,municipal corporation,"  12 987,00 ",
Sufficiency ,Technology and Data in Urban Development,municipal corporation,"  12 987,00 ",y
Trade,Policy & Governance,International Governance,"  12 956,00 ",
Housing,Energy/resource/emissions,building environment,"  12 856,00 ",
Mobility,Traffic,traffic speed,"  12 717,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Security Cooperation,"  12 674,00 ",
Logistic,Transport infrastructure,heavy-duty vehicle,"  12 657,00 ",
Trade,Policy & Governance,Redistribution Policies,"  12 628,00 ",
Trade,Policy & Governance,regional trade agreements,"  12 548,00 ",
Logistic,Transport measures,air traffic management,"  12 461,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Tailored Strategy,"  12 412,00 ",
Trade,Power Dynamics and Trade,Trade Disputes,"  12 393,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Resilience Building,"  12 392,00 ",
Urban settlements ,Urban waste management infrastructure,resource flows,"  12 343,00 ",
Trade,Competitiveness,Eco-design,"  12 310,00 ",
Trade,Consumer / Cultural Issues (demand-side),Cultural Sustainability,"  12 241,00 ",
Mobility,Transport mode,motorized vehicle,"  12 199,00 ",
Trade,Social & Labor Impacts,social safety nets,"  12 187,00 ",
Trade,Consumer / Cultural Issues (demand-side),Green Purchasing,"  12 180,00 ",
Urban settlements ,Biodiversity conservation & habitat protection,habitat conservation,"  12 171,00 ",
Mobility,Mobility policies,speed reduction,"  12 158,00 ",
Sufficiency ,Mitigation,greenhouse gas emissions reduction,"  12 020,00 ",
Trade,Power Dynamics and Trade,International Trade Law,"  11 898,00 ",
Food,Practices,food fortification,"  11 897,00 ",
Urban settlements ,Urban waste management infrastructure,waste minimization,"  11 829,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Cross-Sector Collaboration,"  11 698,00 ",
Trade,Power Dynamics and Trade,Corporate Power,"  11 609,00 ",
Trade,Food & Nutrition,Vegetarianism,"  11 600,00 ",
Sufficiency ,Needs,essential need,"  11 586,00 ",
Trade,Global Competitiveness,isolationism,"  11 573,00 ",
Trade,Consumer / Cultural Issues (demand-side),Green Consumerism,"  11 561,00 ",
Sufficiency ,Food/Food system,agri-food systems,"  11 509,00 ",
Sufficiency ,Social and Economic Sustainability Goals,sustainable transformation,"  11 508,00 ",
Sufficiency ,Drivers of production,closed-loop supply chain,"  11 502,00 ",
Logistic,Logistic,closed-loop supply chain,"  11 502,00 ",y
Trade,Power Dynamics and Trade,Export Controls,"  11 495,00 ",
Sufficiency ,Lifestyle,sustainable lifestyle,"  11 489,00 ",
Sufficiency ,Lifestyle,sustainable lifestyle,"  11 489,00 ",y
Trade,Consumer / Cultural Issues (demand-side),Sustainable Lifestyles,"  11 489,00 ",y
Sufficiency ,Driver of consumption,dematerialization,"  11 454,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Urban density,"  11 442,00 ",
Mobility,Metrics,vmt,"  11 424,00 ",
Sufficiency ,Needs,fundamental need,"  11 418,00 ",
Sufficiency ,International initiatives impact on local sufficiency,World Trade Organisation,"  11 416,00 ",
Sufficiency ,Sufficiency,frugality,"  11 378,00 ",
Trade,Environmental and Resource Use,Biodiversity Protection,"  11 260,00 ",
Urban settlements ,Urban form and morphology,Resilient cities,"  11 217,00 ",
Sufficiency ,Lifestyle,single-parent household,"  11 140,00 ",
Housing,Planning Buildings,vernacular architecture,"  11 134,00 ",
Food,Practices,food practice,"  11 128,00 ",
Food,Practices,food practices,"  11 128,00 ",y
Food,Soil health and soil management,biochar application,"  11 108,00 ",
Sufficiency ,Driver of consumption,transport demand,"  11 089,00 ",
Mobility,Mobility demand,transport demand,"  11 089,00 ",y
Mobility,Urbanism,land conservation,"  11 044,00 ",
Food,Soil health and soil management,soil fertility management,"  11 005,00 ",
Housing,Using Buildings,land-use intensity,"  10 935,00 ",
Trade,Policy & Governance,Sustainability Standards,"  10 885,00 ",
Food,Soil health and soil management,rotational grazing,"  10 877,00 ",
Housing,Building Sector Policies and Measures,land tax,"  10 876,00 ",
Trade,Policy & Governance,strong sustainability,"  10 763,00 ",
Logistic,Logistic,ICT technology,"  10 763,00 ",
Housing,Buildings and their Attributes,residential space,"  10 714,00 ",
Food,Nutrition,nutrition practice,"  10 675,00 ",
Food,Nutrition,nutrition practices,"  10 675,00 ",y
Mobility,Traffic,speed regulation,"  10 649,00 ",
Sufficiency ,Political Make-up & Governance,campaign financing,"  10 584,00 ",
Digitalisation,Affordability,Big Tech,"  10 453,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Growth management,"  10 413,00 ",
Trade,Environmental and Resource Use,Resource Governance,"  10 339,00 ",
Housing,Planning Buildings,sustainable architecture,"  10 332,00 ",
Food,Programs,nutrition assistance program,"  10 287,00 ",
Food,Programs,nutrition assistance programs,"  10 287,00 ",y
Sufficiency ,Political Make-up & Governance,policy structure,"  10 280,00 ",
Mobility,Transport system,mobility system,"  10 156,00 ",
Housing,Energy/resource/emissions,housing environment,"  10 125,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Compact city,"  10 121,00 ",
Urban settlements ,Urban form and morphology,Compact City,"  10 121,00 ",y
Mobility,Urban environment,compact city,"  10 121,00 ",y
Sufficiency ,Policies,agricultural subsidies,"  10 093,00 ",y
Food,Agricultural policies,agricultural subsidy,"  10 093,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Vacancy rate,"  10 081,00 ",
Food,Nutrient principles,nutrient flows,"  10 053,00 ",
Mobility,Mobility safety,road crash,"  10 033,00 ",
Mobility,Practices,mobility service,"  10 000,00 ",
Housing,Buildings and their Attributes,hospital building,"  9 990,00 ",
Sufficiency ,Justice,just transition,"  9 923,00 ",
Trade,Job displacement,Just transition,"  9 923,00 ",y
Trade,Power Dynamics and Trade,Neo-colonialism,"  9 866,00 ",
Sufficiency ,Fiscal,fiscal measure,"  9 795,00 ",
Sufficiency ,Planetary boundaries,integrated sustainability,"  9 792,00 ",
Sufficiency ,Technology and Data in Urban Development,smart data,"  9 756,00 ",
Food,Sustainable Breeding & Crop Improvement,marker-assisted breeding,"  9 738,00 ",
Digitalisation,Infrastructure,Web 3.0,"  9 529,00 ",
Sufficiency ,Political Make-up & Governance,term limit,"  9 422,00 ",
Logistic,Logistic,rational allocation,"  9 421,00 ",
Sufficiency ,Technology and Data in Urban Development,smart mobility,"  9 389,00 ",
Logistic,Logistic policies,TEN-T,"  9 371,00 ",
Sufficiency ,International initiatives impact on local sufficiency,International Fund for Agricultural Development,"  9 341,00 ",
Sufficiency ,Social,socio-economic transformation,"  9 283,00 ",
Sufficiency ,Social and Economic Sustainability Goals,socio-economic transformation,"  9 283,00 ",
Sufficiency ,Accessibility,Digital Inequality,"  9 227,00 ",
Sufficiency ,International initiatives impact on local sufficiency,EBRD,"  9 214,00 ",
Sufficiency ,General Principles,efficient recycling,"  9 152,00 ",
Trade,Trade and Sufficiency,Reduced Imports,"  9 145,00 ",
Sufficiency ,Social,societal goal,"  9 124,00 ",
Urban settlements ,Sustainable urban planning,permeable surface,"  9 113,00 ",
Sufficiency ,Technology and Data in Urban Development,smart transportation,"  9 086,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Mixed land use,"  9 045,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Mixed land-use,"  9 045,00 ",
Trade,Food & Nutrition,Aquaponic,"  9 021,00 ",
Mobility,Private vehicle,car owner,"  8 915,00 ",
Mobility,Mobility demand,mobility as a service,"  8 895,00 ",
Sufficiency ,Social and Economic Sustainability Goals,decent living,"  8 882,00 ",
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",anti-discrimination law,"  8 869,00 ",
Food,Programs,nutrition education program,"  8 859,00 ",
Food,Programs,nutrition education programs,"  8 859,00 ",
Trade,Innovation / Technology,secondary raw materials,"  8 854,00 ",
Mobility,Traffic,car traffic,"  8 796,00 ",
Sufficiency ,Adaptation,climate change adaptation strategies,"  8 697,00 ",
Sufficiency ,Social,socio-economic disparity,"  8 692,00 ",
Sufficiency ,Food/Food system,local food systems,"  8 653,00 ",
Sufficiency ,Resource conservation,reduced carbon footprint,"  8 649,00 ",
Sufficiency ,General challenges/barriers,consumer habits,"  8 643,00 ",
Mobility,Private vehicle,fuel demand,"  8 633,00 ",
Mobility,Practices,daily travel,"  8 631,00 ",
Food,Diet,vegan diet,"  8 606,00 ",
Urban settlements ,Biodiversity conservation & habitat protection,habitat protection,"  8 569,00 ",
Trade,Power Dynamics and Trade,Import Restrictions,"  8 568,00 ",
Trade,Policy & Governance,Tariff Policies,"  8 548,00 ",
Digitalisation,Material Footprint and E-Waste,extractivism,"  8 400,00 ",
Trade,Power Dynamics and Trade,Corporate Accountability,"  8 366,00 ",
Food,Soil health and soil management,buffer strips,"  8 332,00 ",
Mobility,Practices,daily commute,"  8 321,00 ",
Housing,Building Sector Policies and Measures,adaptive reuse,"  8 276,00 ",
Sufficiency ,Financing Mechanisms and Economic Systems,participatory budget,"  8 274,00 ",
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",participatory budgeting,"  8 274,00 ",
Trade,Global Competitiveness,high-tech sectors,"  8 272,00 ",
Housing,Energy/resource/emissions,building footprint,"  8 217,00 ",
Housing,Building Sector Policies and Measures,zoning regulation,"  8 217,00 ",
Urban settlements ,Urban densification and urban sprawl,Residential density,"  8 199,00 ",
Housing,Using Buildings,residential density,"  8 199,00 ",
Sufficiency ,Environmental impact (general),sustainable housing,"  8 158,00 ",
Urban settlements ,Urban waste management infrastructure,material flow analysis,"  8 122,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Planning instruments,"  8 111,00 ",
Digitalisation,Infrastructure,4IR,"  8 102,00 ",
Sufficiency ,International initiatives impact on local sufficiency,Decentral,"  8 099,00 ",
Mobility,Mobility safety,transport safety,"  8 057,00 ",
Trade,Housing,Green Urbanism,"  8 015,00 ",
Digitalisation,Artificial Intelligence/Machine Learning (AI/ML),Edge AI,"  8 005,00 ",
Digitalisation,Affordability,class divide,"  7 992,00 ",
Urban settlements ,Construction of sustainable urban infrastructure,Urban land cover,"  7 949,00 ",
Food,Diet,dietary shift,"  7 945,00 ",
Food,Diet,dietary shifts,"  7 945,00 ",
Logistic,Logistic,logistics center,"  7 935,00 ",
Mobility,Energy/resource/emissions,transport emission,"  7 815,00 ",
Trade,Consumer / Cultural Issues (demand-side),Eco-friendly Products,"  7 813,00 ",
Food,Livestock,alternative protein sources,"  7 806,00 ",
Mobility,Urbanism,land protection,"  7 720,00 ",
